Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 4950.50 900.00 100.011477 72.6001 0 11.8558 0.151062 0 0.521662 0 0.0187889 0 0 0.422749 3.63564 4.68782 0 6.10638 0
2 4901.00 897.00 100.011552 72.6001 0 11.8558 0.15181 0 0.520989 0 0.0187888 0 0 0.422749 3.63564 4.68782 0 6.10637 0
2 5000.00 897.00 100.011493 72.6001 0 11.8558 0.151216 0 0.521524 0 0.0187889 0 0 0.422749 3.63564 4.68782 0 6.10638 0
2 4950.50 897.00 100.011522 72.6001 0 11.8558 0.151513 0 0.521257 0 0.0187888 0 0 0.422749 3.63564 4.68782 0 6.10637 0
3 4901.00 894.00 100.011598 72.6 0 11.8558 0.152268 0 0.520577 0 0.0187888 0 0 0.422749 3.63564 4.68781 0 6.10637 0
3 5000.00 894.00 100.011538 72.6001 0 11.8558 0.151671 0 0.521115 0 0.0187888 0 0 0.422749 3.63564 4.68782 0 6.10637 0
3 4950.50 894.00 100.011568 72.6001 0 11.8558 0.151969 0 0.520846 0 0.0187888 0 0 0.422749 3.63564 4.68781 0 6.10637 0
4 4901.00 891.00 100.011645 72.6 0 11.8557 0.152731 0 0.520159 0 0.0187888 0 0 0.422749 3.63564 4.68781 0 6.10637 0
4 4802.00 891.00 100.011705 72.6 0 11.8557 0.153333 0 0.519617 0 0.0187888 0 0 0.422748 3.63563 4.68781 0 6.10636 07 0
4 4950.50 891.00 100.011614 72.6 0 11.8558 0.152431 0 0.52043 0 0.0187888 0 0 0.422749 3.63564 4.68781 0 6.10637 0
5 4851.50 888.00 100.011722 72.6 0 11.8557 0.153503 0 0.519465 0 0.0187888 0 0 0.422748 3.63563 4.68781 0 6.10636 0
5 4802.00 888.00 100.011752 72.5999 0 11.8557 0.153806 0 0.519192 0 0.0187888 0 0 0.422748 3.63563 4.68781 0 6.10636 0
5 4950.50 888.00 100.011661 72.6 0 11.8557 0.1529 0 0.520008 0 0.0187888 0 0 0.422748 3.63564 4.68781 0 6.10637 0
6 4851.50 885.00 100.011770 72.5999 0 11.8557 0.15398 0 0.519035 0 0.0187888 0 0 0.422748 3.63563 4.68781 0 6.10636 00
6 4802.00 885.00 100.011800 72.5999 0 11.8557 0.154284 0 0.518761 0 0.0187888 0 0 0.422748 3.63563 4.6878 0 6.10636 0
6 4950.50 885.00 100.011709 72.6 0 11.8557 0.153375 0 0.51958 0 0.0187888 0 0 0.422748 3.63563 4.68781 0 6.10636 00
7 4851.50 882.00 100.011818 72.5999 0 11.8557 0.154464 0 0.518599 0 0.0187888 0 0 0.422748 3.63563 4.6878 0 6.10636 0
7 5000.00 882.00 100.011727 72.5999 0 11.8557 0.153552 0 0.51942 0 0.0187888 0 0 0.422748 3.63563 4.68781 0 6.10636 00
8 4851.50 879.00 100.011867 72.5998 0 11.8557 0.154954 0 0.518158 0 0.0187888 0 0 0.422748 3.63563 4.6878 0 6.10635 0
8 4950.50 879.00 100.011806 72.5999 0 11.8557 0.154343 0 0.518708 0 0.0187888 0 0 0.422748 3.63563 4.6878 0 6.10636 00
9 4851.50 876.00 100.011917 72.5998 0 11.8557 0.15545 0 0.517711 0 0.0187888 0 0 0.422747 3.63563 4.6878 0 6.10635 00
9 5000.00 876.00 100.011825 72.5999 0 11.8557 0.154531 0 0.518539 0 0.0187888 0 0 0.422748 3.63563 4.6878 0 6.10636 0
10 4851.50 873.00 100.011967 72.5998 0 11.8557 0.155953 0 0.517258 0 0.0187888 0 0 0.422747 3.63563 4.6878 0 6.10635 0
10 4950.50 873.00 100.011906 72.5998 0 11.8557 0.155337 0 0.517813 0 0.0187888 0 0 0.422747 3.63563 4.6878 0 6.10635 0
11 4901.00 870.00 100.011987 72.5998 0 11.8557 0.156153 0 0.517078 0 0.0187888 0 0 0.422747 3.63562 4.6878 0 6.10635 00
11 4802.00 870.00 100.012050 72.5997 0 11.8557 0.156773 0 0.51652 0 0.0187887 0 0 0.422747 3.63562 4.68779 0 6.10634 0
12 4851.50 867.00 100.012070 72.5997 0 11.8557 0.156979 0 0.516334 0 0.0187887 0 0 0.422747 3.63562 4.68779 0 6.10634 0
11 5000.00 870.00 100.011926 72.5998 0 11.8557 0.155536 0 0.517634 0 0.0187888 0 0 0.422747 3.63563 4.6878 0 6.10635 0
12 4802.00 867.00 100.012101 72.5997 0 11.8557 0.157291 0 0.516054 0 0.0187887 0 0 0.422747 3.63562 4.68779 0 6.10634 0
13 4901.00 864.00 100.012091 72.5997 0 11.8557 0.157191 0 0.516144 0 0.0187887 0 0 0.422747 3.63562 4.68779 0 6.10634 0
12 5000.00 867.00 100.011977 72.5998 0 11.8557 0.156049 0 0.517172 0 0.0187888 0 0 0.422747 3.63563 4.6878 0 6.10635 00
13 4802.00 864.00 100.012154 72.5996 0 11.8557 0.157816 0 0.515581 0 0.0187887 0 0 0.422746 3.63562 4.68779 0 6.10634 0
14 4901.00 861.00 100.012144 72.5996 0 11.8557 0.157719 0 0.515668 0 0.0187887 0 0 0.422746 3.63562 4.68779 0 6.10634 0
14 4851.50 861.00 100.012176 72.5996 0 11.8557 0.158033 0 0.515386 0 0.0187887 0 0 0.422746 3.63562 4.68779 0 6.10633 0
14 4802.00 861.00 100.012207 72.5996 0 11.8557 0.158347 0 0.515103 0 0.0187887 0 0 0.422746 3.63562 4.68778 0 6.10633 0
15 4901.00 858.00 100.012198 72.5996 0 11.8557 0.158255 0 0.515185 0 0.0187887 0 0 0.422746 3.63562 4.68779 0 6.10633 0
15 4851.50 858.00 100.012230 72.5996 0 11.8557 0.15857 0 0.514902 0 0.0187887 0 0 0.422746 3.63562 4.68778 0 6.10633 0
15 4802.00 858.00 100.012261 72.5996 0 11.8557 0.158886 0 0.514618 0 0.0187887 0 0 0.422746 3.63561 4.68778 0 6.10633 0
16 4901.00 855.00 100.012253 72.5996 0 11.8557 0.158799 0 0.514696 0 0.0187887 0 0 0.422746 3.63562 4.68778 0 6.10633 0
16 4851.50 855.00 100.012284 72.5995 0 11.8557 0.159115 0 0.514411 0 0.0187887 0 0 0.422746 3.63561 4.68778 0 6.10633 0
15 5000.00 858.00 100.012135 72.5997 0 11.8557 0.157628 0 0.51575 0 0.0187887 0 0 0.422746 3.63562 4.68779 0 6.10634 00
17 4901.00 852.00 100.012308 72.5995 0 11.8557 0.159349 0 0.514201 0 0.0187887 0 0 0.422746 3.63561 4.68778 0 6.10633 0
17 4851.50 852.00 100.012340 72.5995 0 11.8557 0.159666 0 0.513915 0 0.0187887 0 0 0.422746 3.63561 4.68778 0 6.10632 0
17 4802.00 852.00 100.012371 72.5995 0 11.8557 0.159985 0 0.513628 0 0.0187887 0 0 0.422745 3.63561 4.68778 0 6.10632 0
18 4901.00 849.00 100.012364 72.5995 0 11.8557 0.159906 0 0.513699 0 0.0187887 0 0 0.422745 3.63561 4.68778 0 6.10632 0
18 4851.50 849.00 100.012396 72.5995 0 11.8557 0.160225 0 0.513411 0 0.0187887 0 0 0.422745 3.63561 4.68778 0 6.10632 0
18 4802.00 849.00 100.012428 72.5994 0 11.8557 0.160545 0 0.513123 0 0.0187887 0 0 0.422745 3.63561 4.68777 0 6.10632 0
18 4950.50 849.00 100.012332 72.5995 0 11.8557 0.159588 0 0.513985 0 0.0187887 0 0 0.422746 3.63561 4.68778 0 6.10633 0
19 4851.50 846.00 100.012452 72.5994 0 11.8557 0.160792 0 0.512901 0 0.0187887 0 0 0.422745 3.63561 4.68777 0 6.10632 0
19 4802.00 846.00 100.012485 72.5994 0 11.8556 0.161113 0 0.512612 0 0.0187887 0 0 0.422745 3.63561 4.68777 0 6.10632 0
19 4950.50 846.00 100.012388 72.5995 0 11.8557 0.160152 0 0.513478 0 0.0187887 0 0 0.422745 3.63561 4.68778 0 6.10632 0
20 4851.50 843.00 100.012510 72.5994 0 11.8556 0.161366 0 0.512384 0 0.0187887 0 0 0.422745 3.63561 4.68777 0 6.10631 0
19 5000.00 846.00 100.012356 72.5995 0 11.8557 0.159833 0 0.513765 0 0.0187887 0 0 0.422745 3.63561 4.68778 0 6.10632 0
20 4950.50 843.00 100.012445 72.5994 0 11.8557 0.160723 0 0.512963 0 0.0187887 0 0 0.422745 3.63561 4.68777 0 6.10632 0
21 4901.00 840.00 100.012536 72.5994 0 11.8556 0.161624 0 0.512152 0 0.0187887 0 0 0.422745 3.6356 4.68777 0 6.10631 0
21 4802.00 840.00 100.012601 72.5993 0 11.8556 0.162272 0 0.511569 0 0.0187886 0 0 0.422744 3.6356 4.68777 0 6.10631 00
21 4950.50 840.00 100.012503 72.5994 0 11.8556 0.161302 0 0.512442 0 0.0187887 0 0 0.422745 3.63561 4.68777 0 6.10631 0
22 4851.50 837.00 100.012627 72.5993 0 11.8556 0.162537 0 0.51133 0 0.0187886 0 0 0.422744 3.6356 4.68777 0 6.10631 00
22 4802.00 837.00 100.012660 72.5993 0 11.8556 0.162862 0 0.511037 0 0.0187886 0 0 0.422744 3.6356 4.68776 0 6.10631 0
22 4950.50 837.00 100.012562 72.5993 0 11.8556 0.161888 0 0.511914 0 0.0187886 0 0 0.422745 3.6356 4.68777 0 6.10631 0
23 4851.50 834.00 100.012687 72.5993 0 11.8556 0.163134 0 0.510792 0 0.0187886 0 0 0.422744 3.6356 4.68776 0 6.1063 00
22 5000.00 837.00 100.012530 72.5994 0 11.8556 0.161565 0 0.512205 0 0.0187887 0 0 0.422745 3.6356 4.68777 0 6.10631 0
23 4950.50 834.00 100.012622 72.5993 0 11.8556 0.162483 0 0.511379 0 0.0187886 0 0 0.422744 3.6356 4.68777 0 6.10631 0
24 4901.00 831.00 100.012715 72.5992 0 11.8556 0.163412 0 0.510542 0 0.0187886 0 0 0.422744 3.6356 4.68776 0 6.1063 0
24 4950.50 831.00 100.012682 72.5993 0 11.8556 0.163085 0 0.510837 0 0.0187886 0 0 0.422744 3.6356 4.68776 0 6.1063 00
25 4901.00 828.00 100.012776 72.5992 0 11.8556 0.164024 0 0.509991 0 0.0187886 0 0 0.422744 3.6356 4.68776 0 6.1063 00
25 4802.00 828.00 100.012842 72.5991 0 11.8556 0.164683 0 0.509398 0 0.0187886 0 0 0.422743 3.63559 4.68776 0 6.10629 0
24 5000.00 831.00 100.012649 72.5993 0 11.8556 0.162758 0 0.51113 0 0.0187886 0 0 0.422744 3.6356 4.68776 0 6.10631 0
26 4851.50 825.00 100.012871 72.5991 0 11.8556 0.164974 0 0.509135 0 0.0187886 0 0 0.422743 3.63559 4.68775 0 6.10629 0
26 4901.00 825.00 100.012838 72.5991 0 11.8556 0.164644 0 0.509433 0 0.0187886 0 0 0.422743 3.63559 4.68776 0 6.10629 0
