Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 6100.00 1000.00 24.529610 36.0598 2.51711 22.3004 17.2 0 2.30804 0 6.31196 0 0 10.5426 2.70534 0.0547706 0 0 0
25 7300.00 1072.00 7.820579 13.3152 3.6797 11.1792 44.9056 0 5.47979 0.0246372 13.7318 0 0 7.38342 0.300645 0 0 0 0
8 6900.00 1021.00 18.266944 31.7396 2.83722 18.2587 21.8983 0 2.92384 0 8.50755 0 0 11.8388 1.96145 0.0344898 0 0 0
23 7500.00 1066.00 9.188944 17.8573 3.80787 11.3245 39.1849 0 4.75671 0.0252586 12.851 0 0 9.76404 0.428498 0 0 0 0
7 5300.00 1018.00 17.907463 31.5637 2.40066 20.8592 22.6314 0 2.64624 0 7.64752 0 0 9.96663 2.24268 0.0420142 0 0 0
26 7300.00 1075.00 7.341079 11.4594 3.60504 11.1032 47.319 0 5.7964 0.0248732 14.0712 0 0 6.36517 0.255617 0 0 0 0
8 5900.00 1021.00 17.653740 31.1857 2.6329 19.9696 22.7677 0 2.78889 0 7.99945 0 0 10.4978 2.11856 0.0394498 0 0 0
21 7100.00 1060.00 9.207619 17.3283 3.86332 11.4214 39.5174 0 4.75676 0.0231101 13.0443 0 0 9.64941 0.396006 0 0 0 0
7 5100.00 1018.00 17.691520 31.4229 2.31475 21.0308 22.8958 0 2.63952 0 7.63609 0 0 9.77262 2.24556 0.0419028 0 0 0
7 4900.00 1018.00 17.464607 31.2778 2.22116 21.1861 23.1772 0 2.63518 0 7.63498 0 0 9.57994 2.24599 0.0417053 0 0 0
27 7300.00 1078.00 6.850805 9.29908 3.51412 11.0185 50.1315 0 6.16671 0.0251816 14.4662 0 0 5.17382 0.20494 0 0 0 0
24 7500.00 1069.00 8.736523 16.5972 3.76597 11.2709 40.8032 0 4.97182 0.0252344 13.0807 0 0 9.09164 0.393364 0 0 0 0
22 7100.00 1063.00 8.761185 16.0833 3.82011 11.3582 41.1424 0 4.96279 0.0232949 13.2749 0 0 8.97203 0.362998 0 0 0 0
8 5500.00 1021.00 17.282955 30.909 2.489 20.4484 23.2544 0 2.76322 0 7.90925 0 0 10.04 2.14682 0.0400386 0 0 0
9 6700.00 1024.00 17.351713 30.8215 2.85339 18.3035 22.8936 0 3.00344 0 8.66596 0 0 11.5387 1.88669 0.0331677 0 0 0
