System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(NNO) rhol rhos viscosity aH2O chisqr
1 4950.50 900.00 100.011477 1.0000000000000000 1.000000 -1335561.920674 276.941386 44.850716 135.735862 -645.720210 6570.935582 -11.890 0.000 2.229875 0.000000 4.453 n/a n/a
2 4901.00 897.00 100.011552 1.0000000000000000 1.000000 -1336154.189275 276.626432 44.863088 135.720986 -649.127215 6579.289247 -11.945 0.000 2.229261 0.000000 4.476 n/a n/a
2 5000.00 897.00 100.011493 1.0000000000000000 1.000000 -1335785.456388 276.561434 44.799219 135.689989 -640.375374 6546.931359 -11.945 0.000 2.232438 0.000000 4.476 n/a n/a
2 4950.50 897.00 100.011522 1.0000000000000000 1.000000 -1335969.790145 276.593893 44.831045 135.705472 -644.741424 6563.015338 -11.945 0.000 2.230854 0.000000 4.476 n/a n/a
3 4901.00 894.00 100.011598 1.0000000000000000 1.000000 -1336562.025845 276.278084 44.843393 135.690458 -648.137914 6571.316858 -12.000 0.000 2.230242 0.000000 4.498 n/a n/a
3 5000.00 894.00 100.011538 1.0000000000000000 1.000000 -1336193.196046 276.213166 44.779620 135.659398 -639.409094 6538.990879 -12.000 0.000 2.233416 0.000000 4.498 n/a n/a
3 4950.50 894.00 100.011568 1.0000000000000000 1.000000 -1336377.578210 276.245585 44.811398 135.674912 -643.763633 6555.058904 -12.000 0.000 2.231833 0.000000 4.498 n/a n/a
4 4851.50 891.00 100.011675 1.0000000000000000 1.000000 -1337154.342552 275.961459 44.855884 135.675364 -651.532122 6579.740209 -12.055 0.000 2.229622 0.000000 4.521 n/a n/a
4 4802.00 891.00 100.011705 1.0000000000000000 1.000000 -1337338.969879 275.994081 44.888264 135.691002 -655.934375 6596.362064 -12.055 0.000 2.228015 0.000000 4.521 n/a n/a
4 4950.50 891.00 100.011614 1.0000000000000000 1.000000 -1336785.284498 275.896459 44.791776 135.644181 -642.786839 6547.066282 -12.055 0.000 2.232812 0.000000 4.521 n/a n/a
5 4851.50 888.00 100.011722 1.0000000000000000 1.000000 -1337562.064254 275.611431 44.836188 135.644521 -650.533304 6571.679491 -12.110 0.000 2.230603 0.000000 4.544 n/a n/a
5 4802.00 888.00 100.011752 1.0000000000000000 1.000000 -1337746.740510 275.644013 44.868518 135.660190 -654.924047 6588.285390 -12.110 0.000 2.228996 0.000000 4.544 n/a n/a
5 4950.50 888.00 100.011661 1.0000000000000000 1.000000 -1337192.908634 275.546512 44.772178 135.613277 -641.811040 6539.037476 -12.110 0.000 2.233790 0.000000 4.544 n/a n/a
6 4851.50 885.00 100.011770 1.0000000000000000 1.000000 -1337969.703658 275.260577 44.816517 135.613504 -649.535483 6563.582591 -12.166 0.000 2.231583 0.000000 4.567 n/a n/a
6 4802.00 885.00 100.011800 1.0000000000000000 1.000000 -1338154.428956 275.293118 44.848797 135.629203 -653.914716 6580.172533 -12.166 0.000 2.229977 0.000000 4.567 n/a n/a
6 4950.50 885.00 100.011709 1.0000000000000000 1.000000 -1337600.450245 275.195739 44.752604 135.582200 -640.836239 6530.972489 -12.166 0.000 2.234768 0.000000 4.567 n/a n/a
7 4901.00 882.00 100.011788 1.0000000000000000 1.000000 -1338192.551753 274.876474 44.764855 135.566615 -644.190677 6539.065455 -12.222 0.000 2.234159 0.000000 4.590 n/a n/a
7 5000.00 882.00 100.011727 1.0000000000000000 1.000000 -1337823.332020 274.811877 44.701469 135.535312 -635.553935 6506.867123 -12.222 0.000 2.237325 0.000000 4.590 n/a n/a
8 4851.50 879.00 100.011867 1.0000000000000000 1.000000 -1338784.734062 274.556376 44.777249 135.550943 -647.542834 6547.280258 -12.278 0.000 2.233542 0.000000 4.613 n/a n/a
8 4950.50 879.00 100.011806 1.0000000000000000 1.000000 -1338415.284392 274.491700 44.713531 135.519520 -638.889630 6514.733988 -12.278 0.000 2.236724 0.000000 4.613 n/a n/a
9 4901.00 876.00 100.011886 1.0000000000000000 1.000000 -1339007.317225 274.170684 44.725735 135.503641 -642.223045 6522.722692 -12.334 0.000 2.236115 0.000000 4.636 n/a n/a
9 5000.00 876.00 100.011825 1.0000000000000000 1.000000 -1338637.901177 274.106250 44.662540 135.472221 -633.632342 6490.588193 -12.334 0.000 2.239278 0.000000 4.636 n/a n/a
10 4851.50 873.00 100.011967 1.0000000000000000 1.000000 -1339599.430740 273.848824 44.738081 135.487671 -645.554181 6530.833236 -12.391 0.000 2.235500 0.000000 4.660 n/a n/a
10 4950.50 873.00 100.011906 1.0000000000000000 1.000000 -1339229.783925 273.784313 44.674557 135.456132 -636.947014 6498.350804 -12.391 0.000 2.238677 0.000000 4.660 n/a n/a
11 4901.00 870.00 100.011987 1.0000000000000000 1.000000 -1339821.747011 273.461527 44.686714 135.439952 -640.259409 6506.235259 -12.448 0.000 2.238070 0.000000 4.683 n/a n/a
11 4802.00 870.00 100.012050 1.0000000000000000 1.000000 -1340191.625158 273.526118 44.750567 135.471608 -648.883039 6539.065620 -12.448 0.000 2.234878 0.000000 4.683 n/a n/a
11 5000.00 870.00 100.011926 1.0000000000000000 1.000000 -1339452.133765 273.397258 44.623712 135.408418 -631.714744 6474.164599 -12.448 0.000 2.241228 0.000000 4.683 n/a n/a
12 4802.00 867.00 100.012101 1.0000000000000000 1.000000 -1340598.812528 273.170185 44.730997 135.439549 -647.879703 6530.735737 -12.506 0.000 2.235857 0.000000 4.707 n/a n/a
13 4901.00 864.00 100.012091 1.0000000000000000 1.000000 -1340635.838068 272.748974 44.647795 135.375540 -638.299775 6489.603184 -12.563 0.000 2.240023 0.000000 4.731 n/a n/a
12 5000.00 867.00 100.011977 1.0000000000000000 1.000000 -1339859.122900 273.041491 44.604335 135.376246 -630.757446 6465.898563 -12.506 0.000 2.242203 0.000000 4.707 n/a n/a
13 4802.00 864.00 100.012154 1.0000000000000000 1.000000 -1341005.915050 272.813398 44.711452 135.407307 -646.877367 6522.369695 -12.563 0.000 2.236835 0.000000 4.731 n/a n/a
14 4901.00 861.00 100.012144 1.0000000000000000 1.000000 -1341042.755617 272.391414 44.628373 135.343059 -637.321460 6481.232916 -12.621 0.000 2.240999 0.000000 4.755 n/a n/a
13 5000.00 864.00 100.012029 1.0000000000000000 1.000000 -1340266.026755 272.684871 44.584984 135.343894 -629.801148 6457.596371 -12.563 0.000 2.243177 0.000000 4.731 n/a n/a
14 4802.00 861.00 100.012207 1.0000000000000000 1.000000 -1341412.932338 272.455754 44.691932 135.374881 -645.876034 6513.967499 -12.621 0.000 2.237813 0.000000 4.755 n/a n/a
15 4901.00 858.00 100.012198 1.0000000000000000 1.000000 -1341449.587335 272.032992 44.608977 135.310394 -636.344147 6472.826499 -12.680 0.000 2.241975 0.000000 4.779 n/a n/a
15 4851.50 858.00 100.012230 1.0000000000000000 1.000000 -1341634.692376 272.065079 44.640602 135.326316 -640.600054 6489.082864 -12.680 0.000 2.240387 0.000000 4.779 n/a n/a
15 4802.00 858.00 100.012261 1.0000000000000000 1.000000 -1341819.864007 272.097248 44.672438 135.342269 -644.875702 6505.529153 -12.680 0.000 2.238791 0.000000 4.779 n/a n/a
16 4901.00 855.00 100.012253 1.0000000000000000 1.000000 -1341856.332838 271.673704 44.589607 135.277542 -635.367836 6464.383937 -12.738 0.000 2.242950 0.000000 4.803 n/a n/a
16 4851.50 855.00 100.012284 1.0000000000000000 1.000000 -1342041.487912 271.705749 44.621183 135.293492 -639.612234 6480.624337 -12.738 0.000 2.241363 0.000000 4.803 n/a n/a
15 5000.00 858.00 100.012135 1.0000000000000000 1.000000 -1341079.577098 271.969056 44.546357 135.278639 -627.891556 6440.883539 -12.680 0.000 2.245125 0.000000 4.779 n/a n/a
17 4901.00 852.00 100.012308 1.0000000000000000 1.000000 -1342262.991739 271.313547 44.570262 135.244504 -634.392529 6455.905233 -12.797 0.000 2.243925 0.000000 4.827 n/a n/a
17 4851.50 852.00 100.012340 1.0000000000000000 1.000000 -1342448.196950 271.345550 44.601790 135.260479 -638.625418 6472.129667 -12.797 0.000 2.242339 0.000000 4.827 n/a n/a
17 4802.00 852.00 100.012371 1.0000000000000000 1.000000 -1342633.468943 271.377633 44.633528 135.276484 -642.878048 6488.544023 -12.797 0.000 2.240745 0.000000 4.827 n/a n/a
18 4901.00 849.00 100.012364 1.0000000000000000 1.000000 -1342669.563652 270.952516 44.550943 135.211277 -633.418225 6447.390393 -12.856 0.000 2.244899 0.000000 4.852 n/a n/a
18 4851.50 849.00 100.012396 1.0000000000000000 1.000000 -1342854.819105 270.984476 44.582423 135.227278 -637.639605 6463.598860 -12.856 0.000 2.243315 0.000000 4.852 n/a n/a
18 4802.00 849.00 100.012428 1.0000000000000000 1.000000 -1343040.141433 271.016517 44.614111 135.243309 -641.880726 6479.997248 -12.856 0.000 2.241722 0.000000 4.852 n/a n/a
18 4950.50 849.00 100.012332 1.0000000000000000 1.000000 -1342484.375093 270.920635 44.519673 135.195305 -629.216587 6431.371849 -12.856 0.000 2.246475 0.000000 4.852 n/a n/a
19 4851.50 846.00 100.012452 1.0000000000000000 1.000000 -1343261.353987 270.622524 44.563081 135.193886 -636.654797 6455.031919 -12.916 0.000 2.244289 0.000000 4.877 n/a n/a
19 4802.00 846.00 100.012485 1.0000000000000000 1.000000 -1343446.726754 270.654522 44.594721 135.209943 -640.884410 6471.414338 -12.916 0.000 2.242698 0.000000 4.877 n/a n/a
19 4950.50 846.00 100.012388 1.0000000000000000 1.000000 -1342890.809382 270.558769 44.500428 135.161863 -628.254797 6422.836843 -12.916 0.000 2.247448 0.000000 4.877 n/a n/a
20 4901.00 843.00 100.012478 1.0000000000000000 1.000000 -1343482.444965 270.227816 44.512384 135.144252 -631.472633 6430.252318 -12.976 0.000 2.246846 0.000000 4.901 n/a n/a
