Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 2000.00 1400.00 100.000000 45.6103 3.39878 12.3035 1.92136 0 9.80283 0.184803 10.7025 0 0 11.0279 2.29397 1.3117 0.437904 1.00437 0
2 2000.00 1397.00 100.000000 45.6103 3.39878 12.3035 1.92136 0 9.80283 0.184803 10.7025 0 0 11.0279 2.29397 1.3117 0.437904 1.00437 0
3 2000.00 1394.00 100.000000 45.6103 3.39878 12.3035 1.92136 0 9.80283 0.184803 10.7025 0 0 11.0279 2.29397 1.3117 0.437904 1.00437 0
4 2000.00 1391.00 100.000000 45.6103 3.39878 12.3035 1.92136 0 9.80283 0.184803 10.7025 0 0 11.0279 2.29397 1.3117 0.437904 1.00437 0
5 2000.00 1388.00 100.000000 45.6103 3.39878 12.3035 1.92136 0 9.80283 0.184803 10.7025 0 0 11.0279 2.29397 1.3117 0.437904 1.00437 0
6 2000.00 1385.00 100.000000 45.6103 3.39878 12.3035 1.92136 0 9.80283 0.184803 10.7025 0 0 11.0279 2.29397 1.3117 0.437904 1.00437 0
7 2000.00 1382.00 100.000000 45.6103 3.39878 12.3035 1.92136 0 9.80283 0.184803 10.7025 0 0 11.0279 2.29397 1.3117 0.437904 1.00437 0
8 2000.00 1379.00 100.000000 45.6103 3.39878 12.3035 1.92136 0 9.80283 0.184803 10.7025 0 0 11.0279 2.29397 1.3117 0.437904 1.00437 0
9 2000.00 1376.00 100.000000 45.6103 3.39878 12.3035 1.92136 0 9.80283 0.184803 10.7025 0 0 11.0279 2.29397 1.3117 0.437904 1.00437 0
10 2000.00 1373.00 100.000000 45.6103 3.39878 12.3035 1.92136 0 9.80283 0.184803 10.7025 0 0 11.0279 2.29397 1.3117 0.437904 1.00437 0
11 2000.00 1370.00 100.000000 45.6103 3.39878 12.3035 1.92136 0 9.80283 0.184803 10.7025 0 0 11.0279 2.29397 1.3117 0.437904 1.00437 0
12 2000.00 1367.00 100.000000 45.6103 3.39878 12.3035 1.92136 0 9.80283 0.184803 10.7025 0 0 11.0279 2.29397 1.3117 0.437904 1.00437 0
