CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[656],OCEAN ISLAND,AZORES / CORVO,,39.58,39.58,-31.13,-31.13,SAE,,,s_C-1 [656],"BASALT, ALKALINE [656]",,,,,,,,,VOL,,,,,WR [656] ,47.7,3.01,,17.41,,4.34,6.8,,8.38,4.34,0.22,6.4,1.9,4.5,1.06,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,2.6,,,26,27,,,,,,,,53.3,929,,,,,,,,,,,,,,,0.678,603,71.7,134.3,,58.3,10.2,3.1,,1.2,,,,,3,0.41,7.9,8.3,,,,,,,,,,,9.5,,,,,0.70332,,,,,,,,,,,,,,,,,,,,,13856
[656],OCEAN ISLAND,AZORES / CORVO,,39.58,39.58,-31.13,-31.13,SAE,,,s_C-2 [656],"BASALT, ALKALINE [656]",,,,,,,,,VOL,,,,,WR [656] ,47.55,2.91,,17.47,,4.79,6.18,,9.5,5.11,0.2,5.35,1.76,3.59,0.67,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,3.6,,,36,29,,,,,,,,44.6,711,,,,,,,,,,,,,,,0.769,642,63.5,125.3,,53.4,10.5,3.1,,1.1,,,,,2.7,0.39,6.7,7.3,,,,,,,,,,,7.3,,,,,0.70338,,,,,,,,,,,,,,,,,,,,,13857
[1320],OCEAN ISLAND,AZORES / CORVO,PESQUEIRO ALTO,39.58,39.58,-31.13,-31.13,SAE,,,s_122 [1320],"BASALT, OLIVINE [1320]",,,,,,,,,VOL,,,,,WR [1320] ,45.58,2.67,,13.89,,,6.6,,14.03,10.53,0.17,3.12,0.77,2.35,0.11,,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15947
[16341],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.6802,39.6802,-31.0963,-31.0963,SAE,2,2,s_C-09-04 [16341],"TRACHYANDESITE, BASALTIC [16341]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,52.86,1.72,,18.03,,,,9.02,6.11,2.18,0.24,8.55,2.54,6.01,0.67,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,,,,22.1,,7.2,115.1,,,,,,69.1,760.7,38.6,360,121.1,4.9,,,,,,,,,,,,791.3,,138.7,,,,,,,,,,,,,,,,,,,,,,,4,,12.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,612284
[16341],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.7137,39.7137,-31.1061,-31.1061,SAE,408,408,s_C-09-11 [16341],"TRACHYANDESITE, BASALTIC [16341]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,49.81,2.68,,16.88,,,,9.55,6.93,3.7,0.21,7.57,2.62,4.95,0.86,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,31.7,5.5,19.5,98,,,,,,58.9,735.2,37.9,329.2,112.8,3.3,,,,,,,,,,,,568.2,,121.4,,,,,,,,,,,,,,,,,,,,,,,3.7,,11,3.1,,,,,,,,,,,,,,,,,,,,,,,,,612291
[16341],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.7081,39.7081,-31.0983,-31.0983,SAE,555,555,s_C-09-12 [16341],TEPHRITE [16341],80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,43.73,2.63,,18.56,,,,10.6,11.57,4.81,0.17,3.86,0.9,2.96,0.51,,,,,,,,,,,,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.2,,,,46.9,45.8,96.6,92.2,,,,,,14.8,677.6,27.2,179.9,58.7,1.5,,,,,,,,,,,,469.8,,75.6,,,,,,,,,,,,,,,,,,,,,,,1.7,,6.8,3,,,,,,,,,,,,,,,,,,,,,,,,,612292
[16341],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.7009,39.7009,-31.098,-31.098,SAE,484,484,s_C-09-14 [16341],"BASALT, ALKALINE [16341]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,44.49,2.59,,17.22,,,,10.1,12.05,5.66,0.17,4.19,1.04,3.15,0.53,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,,42,48.7,145.9,78.3,,,,,,20.5,668.4,29.1,201.2,63.6,2,,,,,,,,,,,,478.4,,74.6,,,,,,,,,,,,,,,,,,,,,,,1.8,,7.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,612294
[16341],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.6999,39.6999,-31.0985,-31.0985,SAE,482,482,s_C-09-15A [16341],"BASALT, ALKALINE [16341]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,44.49,2.09,,13.06,,,,10.23,13.08,11.14,0.17,3.26,0.53,2.73,0.33,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,336.43,1069.41,,,69.25,298.04,174.27,87.45,,,,,,4.43,605.89,25.64,159.56,51.9,1,,,,,,,,,,,0.14,333.38,31.32,59.58,7.3,28.6,5.91,1.91,5.44,0.77,4.27,0.76,2.05,,1.59,0.21,3.51,4.02,,,,,,,,,1.62,,3.08,0.77,,,,,,,,,,,,,,,,,,,,,,,,,612295
[16341],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.6999,39.6999,-31.0985,-31.0985,SAE,482,482,s_C-09-15B [16341],"TRACHYANDESITE, BASALTIC [16341]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,44.12,2.01,,12.62,,,,9.92,12.71,11.29,0.16,3.84,0.8,3.04,0.31,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.6,,,,52.5,223.7,127.4,66.4,,,,,,11.1,385.2,24.1,119.1,34,0.9,,,,,,,,,,,,268.6,,44.5,,,,,,,,,,,,,,,,,,,,,,,3.4,,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,612296
[16341][19965],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.7128,39.7128,-31.1079,-31.1079,SAE,412,412,s_C-09-08 [16341],"TRACHYANDESITE, BASALTIC [16341] / NOT GIVEN [19965]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,48.5,2.97,,16.34,,,,10.19,6.34,3.27,0.19,6.83,2.67,4.16,0.94,,,,,,,,,,,,,,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,171.81,24.01,,,25.25,17.09,41.96,121.12,,,,,,61.49,693.88,38.59,346.73,124.35,2.2,,,,,,,,,,,0.4,573.3,63.45,118.5,14.23,52.06,9.78,2.88,8.52,1.2,6.31,1.19,3.14,,2.54,0.33,6.52,7.42,,,,,,,,,5.1,,8.59,2.13,0.512931,,,0.70334,,19.7646,,15.6146,,39.4234,,,,,,,,0.283036,,,,,,,90990-C-09-08
