Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1 1000.00 1400.00 99.999240 48.7369 0.570783 14.57 0.530544 0 7.0927 14.8303 11.7461 1.50206 0.0801099 0 0.200275278
2 10000.00 1397.00 99.995085 48.7389 0.570807 14.5706 0.489085 0 7.13032 14.831 11.7466 1.50212 0.0801132 0 0.200283
3 1000.00 1394.00 99.999292 48.7368 0.570783 14.57 0.531054 0 7.09224 14.8303 11.7461 1.50206 0.0801099 0 0.20027583
4 10000.00 1391.00 99.995142 48.7389 0.570807 14.5706 0.489655 0 7.12981 14.831 11.7466 1.50212 0.0801132 0 0.200283
4 1000.00 1391.00 99.999318 48.7368 0.570783 14.57 0.531318 0 7.092 14.8303 11.7461 1.50206 0.0801099 0 0.2002750278
5 1000.00 1388.00 99.999345 48.7368 0.570783 14.57 0.53159 0 7.09176 14.8303 11.7461 1.50206 0.0801098 0 0.200275278
6 1000.00 1385.00 99.999373 48.7368 0.570782 14.57 0.531867 0 7.0915 14.8303 11.7461 1.50206 0.0801098 0 0.200275818
7 1000.00 1382.00 99.999402 48.7368 0.570782 14.57 0.532152 0 7.09125 14.8303 11.7461 1.50206 0.0801098 0 0.200274
6 10000.00 1385.00 99.995098 48.7389 0.570807 14.5706 0.489216 0 7.13021 14.831 11.7466 1.50212 0.0801132 0 0.200283
8 4000.00 1379.00 99.997802 48.7376 0.570791 14.5702 0.516198 0 7.10572 14.8306 11.7463 1.50208 0.0801111 0 0.200278
8 1000.00 1379.00 99.999431 48.7368 0.570782 14.57 0.532443 0 7.09098 14.8303 11.7461 1.50206 0.0801098 0 0.200274
9 7000.00 1376.00 99.996450 48.7382 0.570799 14.5704 0.502702 0 7.11797 14.8308 11.7464 1.5021 0.0801122 0 0.200288
9 1000.00 1376.00 99.999461 48.7368 0.570782 14.57 0.532741 0 7.09071 14.8303 11.7461 1.50206 0.0801097 0 0.200274
10 4000.00 1373.00 99.997863 48.7375 0.570791 14.5702 0.516807 0 7.10517 14.8306 11.7463 1.50208 0.080111 0 0.200278
7 10000.00 1388.00 99.995171 48.7389 0.570806 14.5706 0.489949 0 7.12954 14.831 11.7466 1.50212 0.0801132 0 0.200283
10 1000.00 1373.00 99.999491 48.7368 0.570782 14.57 0.533045 0 7.09043 14.8303 11.7461 1.50206 0.0801097 0 0.200274
11 4000.00 1370.00 99.997895 48.7375 0.570791 14.5702 0.517121 0 7.10488 14.8305 11.7463 1.50208 0.080111 0 0.200277
12 4000.00 1367.00 99.997927 48.7375 0.570791 14.5702 0.517442 0 7.10459 14.8305 11.7463 1.50208 0.080111 0 0.200277
8 10000.00 1387.00 99.995181 48.7389 0.570806 14.5706 0.490048 0 7.12945 14.831 11.7466 1.50212 0.0801132 0 0.200283
11 7000.00 1370.00 99.996473 48.7382 0.570799 14.5704 0.502934 0 7.11776 14.8308 11.7464 1.5021 0.0801121 0 0.20028
13 4000.00 1364.00 99.997960 48.7375 0.57079 14.5702 0.51777 0 7.1043 14.8305 11.7463 1.50208 0.0801109 0 0.200277
11 1000.00 1370.00 99.999522 48.7367 0.570782 14.57 0.533357 0 7.09015 14.8303 11.7461 1.50206 0.0801097 0 0.200274
9 10000.00 1386.00 99.995165 48.7389 0.570806 14.5706 0.489885 0 7.1296 14.831 11.7466 1.50212 0.0801132 0 0.2002837
12 1000.00 1367.00 99.999554 48.7367 0.570781 14.5699 0.533675 0 7.08986 14.8303 11.7461 1.50206 0.0801097 0 0.200274
13 1000.00 1364.00 99.999587 48.7367 0.570781 14.5699 0.534001 0 7.08957 14.8303 11.7461 1.50206 0.0801096 0 0.200274
12 7000.00 1373.00 99.996481 48.7382 0.570799 14.5704 0.503017 0 7.11768 14.8308 11.7464 1.5021 0.0801121 0 0.20028
13 7000.00 1372.00 99.996492 48.7382 0.570799 14.5704 0.503123 0 7.11759 14.8308 11.7464 1.5021 0.0801121 0 0.20028
14 7000.00 1371.00 99.996503 48.7382 0.570799 14.5704 0.50323 0 7.11749 14.8308 11.7464 1.5021 0.0801121 0 0.20028
10 10000.00 1387.00 99.995181 48.7389 0.570806 14.5706 0.490048 0 7.12945 14.831 11.7466 1.50212 0.0801132 0 0.200283
14 1000.00 1361.00 99.999620 48.7367 0.570781 14.5699 0.534333 0 7.08927 14.8303 11.7461 1.50206 0.0801096 0 0.200274
11 10000.00 1386.90 99.995182 48.7389 0.570806 14.5706 0.490058 0 7.12944 14.831 11.7466 1.50212 0.0801132 0 0.200283
15 4000.00 1358.00 99.998028 48.7375 0.57079 14.5702 0.518447 0 7.10368 14.8305 11.7463 1.50208 0.0801109 0 0.200277
15 1000.00 1358.00 99.999654 48.7367 0.570781 14.5699 0.534673 0 7.08896 14.8303 11.7461 1.50205 0.0801096 0 0.200274
12 10000.00 1386.80 99.995183 48.7389 0.570806 14.5706 0.490068 0 7.12943 14.831 11.7466 1.50212 0.0801132 0 0.200283
16 4000.00 1355.00 99.998063 48.7374 0.57079 14.5702 0.518795 0 7.10336 14.8305 11.7463 1.50208 0.0801109 0 0.200277
16 1000.00 1355.00 99.999689 48.7367 0.570781 14.5699 0.53502 0 7.08864 14.8303 11.7461 1.50205 0.0801096 0 0.200274
15 7000.00 1370.00 99.996473 48.7382 0.570799 14.5704 0.502934 0 7.11776 14.8308 11.7464 1.5021 0.0801121 0 0.2002883
17 1000.00 1352.00 99.999725 48.7366 0.57078 14.5699 0.535374 0 7.08832 14.8303 11.7461 1.50205 0.0801095 0 0.200274
14 10000.00 1386.60 99.995185 48.7388 0.570806 14.5706 0.490088 0 7.12941 14.831 11.7466 1.50212 0.0801132 0 0.200283
18 1000.00 1349.00 99.999761 48.7366 0.57078 14.5699 0.535735 0 7.08799 14.8303 11.7461 1.50205 0.0801095 0 0.200274
15 10000.00 1386.50 99.995186 48.7388 0.570806 14.5706 0.490098 0 7.1294 14.831 11.7466 1.50212 0.0801132 0 0.200283
19 1000.00 1346.00 99.999798 48.7366 0.57078 14.5699 0.536103 0 7.08766 14.8303 11.7461 1.50205 0.0801095 0 0.200274
16 10000.00 1386.40 99.995187 48.7388 0.570806 14.5706 0.490108 0 7.1294 14.831 11.7466 1.50212 0.0801132 0 0.200283
16 7000.00 1371.00 99.996503 48.7382 0.570799 14.5704 0.50323 0 7.11749 14.8308 11.7464 1.5021 0.0801121 0 0.200284
17 10000.00 1386.30 99.995188 48.7388 0.570806 14.5706 0.490118 0 7.12939 14.8309 11.7466 1.50212 0.0801132 0 0.200283
17 7000.00 1370.90 99.996504 48.7382 0.570799 14.5704 0.503241 0 7.11748 14.8308 11.7464 1.5021 0.0801121 0 0.20028
18 7000.00 1370.80 99.996505 48.7382 0.570799 14.5704 0.503252 0 7.11747 14.8308 11.7464 1.5021 0.0801121 0 0.20028
18 10000.00 1386.20 99.995178 48.7389 0.570806 14.5706 0.490019 0 7.12948 14.831 11.7466 1.50212 0.0801132 0 0.200283
19 7000.00 1370.70 99.996506 48.7382 0.570799 14.5704 0.503263 0 7.11746 14.8308 11.7464 1.5021 0.0801121 0 0.200287
22 1000.00 1337.00 99.999913 48.7365 0.570779 14.5699 0.537254 0 7.08662 14.8302 11.746 1.50205 0.0801094 0 0.200273
20 7000.00 1370.60 99.996507 48.7382 0.570799 14.5704 0.503274 0 7.11745 14.8308 11.7464 1.5021 0.0801121 0 0.200287
21 7000.00 1370.50 99.996508 48.7382 0.570799 14.5704 0.503284 0 7.11744 14.8308 11.7464 1.5021 0.0801121 0 0.20028
19 10000.00 1386.30 99.995185 48.7388 0.570806 14.5706 0.490086 0 7.12942 14.831 11.7466 1.50212 0.0801132 0 0.200283
20 10000.00 1386.40 99.995187 48.7388 0.570806 14.5706 0.490108 0 7.1294 14.831 11.7466 1.50212 0.0801132 0 0.200283
23 1000.00 1334.00 99.999908 48.7365 0.570779 14.5699 0.537207 0 7.08666 14.8302 11.746 1.50205 0.0801094 0 0.200273
22 7000.00 1370.40 99.996500 48.7382 0.570799 14.5704 0.503202 0 7.11751 14.8308 11.7464 1.5021 0.0801121 0 0.20028
20 4000.00 1353.00 99.998066 48.7374 0.57079 14.5702 0.518827 0 7.10334 14.8305 11.7463 1.50208 0.0801109 0 0.200277
21 10000.00 1386.40 99.995187 48.7388 0.570806 14.5706 0.490108 0 7.1294 14.831 11.7466 1.50212 0.0801132 0 0.200283
24 1000.00 1337.00 99.999913 48.7365 0.570779 14.5699 0.537254 0 7.08662 14.8302 11.746 1.50205 0.0801094 0 0.200273
25 1000.00 1336.00 99.999926 48.7365 0.570779 14.5699 0.537386 0 7.0865 14.8302 11.746 1.50205 0.0801094 0 0.200273
23 7000.00 1370.50 99.996507 48.7382 0.570799 14.5704 0.50327 0 7.11745 14.8308 11.7464 1.5021 0.0801121 0 0.20028
22 10000.00 1384.40 99.995057 48.7389 0.570807 14.5706 0.488812 0 7.13057 14.831 11.7466 1.50212 0.0801133 0 0.200283
21 4000.00 1354.00 99.998075 48.7374 0.57079 14.5702 0.518913 0 7.10326 14.8305 11.7463 1.50208 0.0801109 0 0.200277
26 1000.00 1335.00 99.999940 48.7365 0.570779 14.5699 0.537519 0 7.08638 14.8302 11.746 1.50205 0.0801094 0 0.200273
22 4000.00 1353.90 99.998076 48.7374 0.57079 14.5702 0.518925 0 7.10325 14.8305 11.7463 1.50208 0.0801109 0 0.200277
