Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1 7000.00 1400.00 99.996220 48.7383 0.5708 14.5704 0.500415 0 7.12004 14.8308 11.7465 1.50211 0.0801123 0 0.20028183
2 7000.00 1397.00 99.996247 48.7383 0.5708 14.5704 0.500679 0 7.1198 14.8308 11.7465 1.50211 0.0801123 0 0.200281278
2 10000.00 1397.00 99.995085 48.7389 0.570807 14.5706 0.489085 0 7.13032 14.831 11.7466 1.50212 0.0801132 0 0.200283
3 7000.00 1394.00 99.996274 48.7383 0.5708 14.5704 0.500949 0 7.11956 14.8308 11.7465 1.50211 0.0801123 0 0.200281
3 10000.00 1394.00 99.995113 48.7389 0.570807 14.5706 0.489367 0 7.13007 14.831 11.7466 1.50212 0.0801132 0 0.200283
4 1000.00 1391.00 99.999318 48.7368 0.570783 14.57 0.531318 0 7.092 14.8303 11.7461 1.50206 0.0801099 0 0.200275278
4 10000.00 1391.00 99.995142 48.7389 0.570807 14.5706 0.489655 0 7.12981 14.831 11.7466 1.50212 0.0801132 0 0.200283
5 1000.00 1388.00 99.999345 48.7368 0.570783 14.57 0.53159 0 7.09176 14.8303 11.7461 1.50206 0.0801098 0 0.200275278
5 10000.00 1388.00 99.995171 48.7389 0.570806 14.5706 0.489949 0 7.12954 14.831 11.7466 1.50212 0.0801132 0 0.200283
6 7000.00 1385.00 99.996359 48.7383 0.5708 14.5704 0.501797 0 7.11879 14.8308 11.7465 1.5021 0.0801122 0 0.200281
6 4000.00 1385.00 99.997744 48.7376 0.570792 14.5702 0.515616 0 7.10625 14.8306 11.7463 1.50208 0.0801111 0 0.200278
6 10000.00 1385.00 99.744248 48.7592 0.572242 14.6072 0.490446 0 7.12611 14.747 11.775 1.5059 0.0803147 0 0.200787
7 7000.00 1382.00 99.996388 48.7383 0.570799 14.5704 0.502092 0 7.11852 14.8308 11.7465 1.5021 0.0801122 0 0.200281
7 4000.00 1382.00 99.997773 48.7376 0.570792 14.5702 0.515904 0 7.10599 14.8306 11.7463 1.50208 0.0801111 0 0.200278
7 10000.00 1388.00 99.995171 48.7389 0.570806 14.5706 0.489949 0 7.12954 14.831 11.7466 1.50212 0.0801132 0 0.200283
8 1000.00 1379.00 99.999431 48.7368 0.570782 14.57 0.532443 0 7.09098 14.8303 11.7461 1.50206 0.0801098 0 0.200274
8 4000.00 1379.00 99.997802 48.7376 0.570791 14.5702 0.516198 0 7.10572 14.8306 11.7463 1.50208 0.0801111 0 0.200278
8 10000.00 1387.00 99.995181 48.7389 0.570806 14.5706 0.490048 0 7.12945 14.831 11.7466 1.50212 0.0801132 0 0.200283
9 7000.00 1376.00 99.996450 48.7382 0.570799 14.5704 0.502702 0 7.11797 14.8308 11.7464 1.5021 0.0801122 0 0.20028
9 4000.00 1376.00 99.997833 48.7376 0.570791 14.5702 0.516499 0 7.10545 14.8306 11.7463 1.50208 0.080111 0 0.200278
9 10000.00 1386.00 99.931037 48.744 0.571173 14.5799 0.4902 0 7.12857 14.8095 11.7538 1.50309 0.0801646 0 0.200411
10 7000.00 1373.00 99.996481 48.7382 0.570799 14.5704 0.503017 0 7.11768 14.8308 11.7464 1.5021 0.0801121 0 0.20028
10 4000.00 1373.00 99.997863 48.7375 0.570791 14.5702 0.516807 0 7.10517 14.8306 11.7463 1.50208 0.080111 0 0.200278
10 10000.00 1387.00 99.995181 48.7389 0.570806 14.5706 0.490048 0 7.12945 14.831 11.7466 1.50212 0.0801132 0 0.200283
11 4000.00 1370.00 99.997895 48.7375 0.570791 14.5702 0.517121 0 7.10488 14.8305 11.7463 1.50208 0.080111 0 0.2002775
11 10000.00 1386.90 99.995182 48.7389 0.570806 14.5706 0.490058 0 7.12944 14.831 11.7466 1.50212 0.0801132 0 0.200283
12 10000.00 1386.80 99.995183 48.7389 0.570806 14.5706 0.490068 0 7.12943 14.831 11.7466 1.50212 0.0801132 0 0.200283
12 7000.00 1373.00 99.996481 48.7382 0.570799 14.5704 0.503017 0 7.11768 14.8308 11.7464 1.5021 0.0801121 0 0.20028
13 4000.00 1364.00 99.997960 48.7375 0.57079 14.5702 0.51777 0 7.1043 14.8305 11.7463 1.50208 0.0801109 0 0.200277274
13 7000.00 1372.00 99.996492 48.7382 0.570799 14.5704 0.503123 0 7.11759 14.8308 11.7464 1.5021 0.0801121 0 0.20028
14 4000.00 1361.00 99.997994 48.7375 0.57079 14.5702 0.518105 0 7.10399 14.8305 11.7463 1.50208 0.0801109 0 0.2002774
14 7000.00 1371.00 99.996503 48.7382 0.570799 14.5704 0.50323 0 7.11749 14.8308 11.7464 1.5021 0.0801121 0 0.20028
15 10000.00 1386.50 99.995186 48.7388 0.570806 14.5706 0.490098 0 7.1294 14.831 11.7466 1.50212 0.0801132 0 0.2002834
15 7000.00 1370.00 99.899272 48.7461 0.571354 14.5846 0.503423 0 7.11629 14.7982 11.7574 1.50356 0.0801901 0 0.200475
16 10000.00 1386.40 99.995187 48.7388 0.570806 14.5706 0.490108 0 7.1294 14.831 11.7466 1.50212 0.0801132 0 0.200283
16 7000.00 1371.00 99.996503 48.7382 0.570799 14.5704 0.50323 0 7.11749 14.8308 11.7464 1.5021 0.0801121 0 0.2002877
17 10000.00 1386.30 99.995188 48.7388 0.570806 14.5706 0.490118 0 7.12939 14.8309 11.7466 1.50212 0.0801132 0 0.200283
17 7000.00 1370.90 99.996504 48.7382 0.570799 14.5704 0.503241 0 7.11748 14.8308 11.7464 1.5021 0.0801121 0 0.20028
18 4000.00 1355.00 99.998063 48.7374 0.57079 14.5702 0.518795 0 7.10336 14.8305 11.7463 1.50208 0.0801109 0 0.200277
18 7000.00 1370.80 99.996505 48.7382 0.570799 14.5704 0.503252 0 7.11747 14.8308 11.7464 1.5021 0.0801121 0 0.20028
19 4000.00 1354.00 99.998075 48.7374 0.57079 14.5702 0.518913 0 7.10326 14.8305 11.7463 1.50208 0.0801109 0 0.20027799
19 7000.00 1370.70 99.996506 48.7382 0.570799 14.5704 0.503263 0 7.11746 14.8308 11.7464 1.5021 0.0801121 0 0.20028
20 4000.00 1353.00 99.949450 48.7414 0.571068 14.5772 0.51908 0 7.10267 14.8142 11.7517 1.50281 0.0801498 0 0.200375
20 7000.00 1370.60 99.996507 48.7382 0.570799 14.5704 0.503274 0 7.11745 14.8308 11.7464 1.5021 0.0801121 0 0.20028
