System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-2.0) rhol rhos viscosity aH2O chisqr
1 7000.00 1400.00 99.996220 1.0000000000000000 1.000000 -1202223.515770 287.120878 36.352543 157.367710 -151.368489 2592.224465 -7.858 0.000 2.750735 0.000000 1.134 n/a n/a

2 4000.00 1397.00 99.997635 1.0000000000000000 1.000000 -1212380.675736 287.627111 36.819878 157.429776 -165.023827 2620.892206 -8.081 0.000 2.715860 0.000000 1.143 n/a n/a
2 7000.00 1397.00 99.996247 1.0000000000000000 1.000000 -1202695.949336 286.838580 36.344790 157.367912 -151.335454 2591.755069 -7.884 0.000 2.751323 0.000000 1.143 n/a n/a
2 10000.00 1397.00 99.995085 1.0000000000000000 1.000000 -1193133.969338 286.061301 35.907375 157.252451 -139.938095 2554.417096 -7.686 0.000 2.784806 0.000000 1.143 n/a n/a
3 7000.00 1394.00 99.996274 1.0000000000000000 1.000000 -1203168.391690 286.555777 36.337039 157.368117 -151.302096 2591.285856 -7.909 0.000 2.751910 0.000000 1.152 n/a n/a
3 10000.00 1394.00 99.995113 1.0000000000000000 1.000000 -1193606.079931 285.778707 35.899737 157.252845 -139.898471 2553.594779 -7.711 0.000 2.785400 0.000000 1.152 n/a n/a
4 1000.00 1391.00 99.999318 1.0000000000000000 1.000000 -1223151.700018 287.857317 37.325088 157.453057 -181.964950 2636.133890 -8.331 0.000 2.679145 0.000000 1.162 n/a n/a
4 10000.00 1391.00 99.995142 1.0000000000000000 1.000000 -1194078.199913 285.495605 35.892102 157.253241 -139.858480 2552.772718 -7.736 0.000 2.785993 0.000000 1.162 n/a n/a
5 1000.00 1388.00 99.999345 1.0000000000000000 1.000000 -1223624.404820 287.573344 37.317205 157.453155 -181.959960 2636.126153 -8.358 0.000 2.679712 0.000000 1.171 n/a n/a
5 10000.00 1388.00 99.995171 1.0000000000000000 1.000000 -1194550.329372 285.211994 35.884469 157.253639 -139.818123 2551.950911 -7.762 0.000 2.786586 0.000000 1.171 n/a n/a
6 1000.00 1385.00 99.999373 1.0000000000000000 1.000000 -1224097.118739 287.288861 37.309322 157.453254 -181.954900 2636.118568 -8.384 0.000 2.680278 0.000000 1.181 n/a n/a
6 7000.00 1385.00 99.996359 1.0000000000000000 1.000000 -1204585.772386 285.704315 36.313797 157.368741 -151.200088 2589.879316 -7.986 0.000 2.753674 0.000000 1.181 n/a n/a
6 4000.00 1385.00 99.997744 1.0000000000000000 1.000000 -1214271.206648 286.492398 36.788528 157.430250 -164.931298 2620.179512 -8.185 0.000 2.718177 0.000000 1.181 n/a n/a
6 10000.00 1385.00 99.995098 0.9974913741975724 0.997811 -1195173.021569 284.835874 35.872171 157.120722 -139.621074 2548.078749 -7.787 0.000 2.786646 3.194727 1.187 n/a n/a
7 7000.00 1382.00 99.996388 1.0000000000000000 1.000000 -1205058.250801 285.419471 36.306054 157.368953 -151.165441 2589.410838 -8.012 0.000 2.754262 0.000000 1.190 n/a n/a
7 4000.00 1382.00 99.997773 1.0000000000000000 1.000000 -1214743.861729 286.207443 36.780693 157.430374 -164.907578 2620.001737 -8.211 0.000 2.718757 0.000000 1.190 n/a n/a
7 10000.00 1388.00 99.995171 1.0000000000000000 1.000000 -1194550.329372 285.211994 35.884469 157.253639 -139.818123 2551.950911 -7.762 0.000 2.786586 0.000000 1.171 n/a n/a
8 1000.00 1379.00 99.999431 1.0000000000000000 1.000000 -1225042.574315 286.718353 37.293558 157.453460 -181.944571 2636.103861 -8.437 0.000 2.681413 0.000000 1.200 n/a n/a
8 4000.00 1379.00 99.997802 1.0000000000000000 1.000000 -1215216.525941 285.921973 36.772859 157.430499 -164.883623 2619.824125 -8.238 0.000 2.719337 0.000000 1.200 n/a n/a
8 10000.00 1387.00 99.995181 1.0000000000000000 1.000000 -1194707.707980 285.117344 35.881926 157.253772 -139.804589 2551.677031 -7.770 0.000 2.786784 0.000000 1.174 n/a n/a
9 7000.00 1376.00 99.996450 1.0000000000000000 1.000000 -1206003.235464 284.848238 36.290572 157.369383 -151.095182 2588.474441 -8.064 0.000 2.755439 0.000000 1.210 n/a n/a
9 4000.00 1376.00 99.997833 1.0000000000000000 1.000000 -1215689.199379 285.635986 36.765027 157.430627 -164.859433 2619.646677 -8.264 0.000 2.719917 0.000000 1.210 n/a n/a
