Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 1500.00 1400.00 0.487039 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65.5561 34.4439
2 1500.00 1397.00 0.113493 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.82857 93.1714
2 1500.00 1397.00 0.105182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0420631 99.9579
2 1500.00 1397.00 0.164536 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23.4363 76.5637
2 1500.00 1397.00 0.132552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.9229 86.0771
2 1500.00 1397.00 0.309481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49.9981 50.0019
3 1500.00 1394.00 0.104560 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1209 97.8791
2 1500.00 1397.00 0.809883 0 0 0 0 0 0 0 0 0 0 0 0 0 0 78.2328 21.7672
2 1500.00 1397.00 1.270295 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85.8123 14.1877
2 1500.00 1397.00 0.217118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35.4961 64.5039
3 1500.00 1394.00 0.164588 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23.4323 76.5677
2 1500.00 1397.00 0.486599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65.5274 34.4726
3 1500.00 1394.00 0.132627 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.9218 86.0782
3 1500.00 1394.00 0.105273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0420723 99.9579
3 1500.00 1394.00 0.217120 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35.4858 64.5142
3 1500.00 1394.00 0.309358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49.9778 50.0222
3 1500.00 1394.00 0.808921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 78.2083 21.7917
4 1500.00 1391.00 0.104652 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.12106 97.8789
4 1500.00 1391.00 0.113667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.82849 93.1715
3 1500.00 1394.00 0.486159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65.4986 34.5014
4 1500.00 1391.00 0.132702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.9206 86.0794
4 1500.00 1391.00 0.164639 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23.4281 76.5719
4 1500.00 1391.00 0.309235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49.9574 50.0426
4 1500.00 1391.00 0.105365 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042081 99.9579
4 1500.00 1391.00 0.217121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35.4754 64.5246
4 1500.00 1391.00 1.267550 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85.7825 14.2175
5 1500.00 1388.00 0.113754 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.82836 93.1716
4 1500.00 1391.00 0.807957 0 0 0 0 0 0 0 0 0 0 0 0 0 0 78.1837 21.8163
5 1500.00 1388.00 0.309110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49.9369 50.0631
5 1500.00 1388.00 0.164691 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23.4237 76.5763
4 1500.00 1391.00 0.485718 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65.4698 34.5302
5 1500.00 1388.00 0.105457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0420893 99.9579
5 1500.00 1388.00 0.132777 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.9192 86.0808
5 1500.00 1388.00 0.217122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35.4649 64.5351
6 1500.00 1385.00 0.104837 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.12131 97.8787
6 1500.00 1385.00 0.113841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.82815 93.1718
5 1500.00 1388.00 0.806992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 78.159 21.841
6 1500.00 1385.00 0.164741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23.4192 76.5808
5 1500.00 1388.00 0.485276 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65.4409 34.5591
6 1500.00 1385.00 0.132852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.9178 86.0822
6 1500.00 1385.00 0.105549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0420972 99.9579
6 1500.00 1385.00 0.217121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35.4542 64.5458
6 1500.00 1385.00 1.264793 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85.7525 14.2475
6 1500.00 1385.00 0.308984 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49.9163 50.0837
7 1500.00 1382.00 0.113928 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.82788 93.1721
6 1500.00 1385.00 0.806025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 78.1343 21.8657
7 1500.00 1382.00 0.164791 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23.4146 76.5854
6 1500.00 1385.00 0.484833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65.4119 34.5881
