System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM) rhol rhos viscosity aH2O chisqr
1 10000.00 1400.00 100.111972 0.9009720790888072 0.911754 -1197756.655733 283.115585 35.426630 153.437580 -129.973454 2518.726092 -5.661 0.000 2.792477 3.171182 1.205 n/a n/a
2 8944.44 1403.00 100.112511 0.9400822555129416 0.946946 -1198872.765660 284.697543 35.745748 154.911616 -139.679149 2564.489172 -5.705 0.000 2.780383 3.163012 1.176 n/a n/a

3 10000.00 1406.00 100.111865 0.9124212147012544 0.922041 -1196324.347426 283.969004 35.490434 153.869707 -131.089782 2532.583818 -5.611 0.000 2.791384 3.168871 1.180 n/a n/a
3 8944.44 1406.00 100.112445 0.9460754435965673 0.952281 -1198139.448162 285.133968 35.779556 155.137851 -140.294528 2571.734928 -5.680 0.000 2.779803 3.161876 1.164 n/a n/a
4 10000.00 1409.00 100.111805 0.9182110281239915 0.927234 -1195602.803970 284.397706 35.522677 154.088141 -131.654709 2539.586944 -5.586 0.000 2.790826 3.167719 1.168 n/a n/a
4 8944.44 1409.00 100.112377 0.9521254197974158 0.957660 -1197401.874572 285.572117 35.813657 155.366151 -140.915892 2579.039810 -5.655 0.000 2.779215 3.160744 1.151 n/a n/a
5 10000.00 1412.00 100.111741 0.9240474968754172 0.932464 -1194877.502288 284.827833 35.555161 154.308272 -132.224434 2546.641856 -5.562 0.000 2.790259 3.166571 1.155 n/a n/a
5 8944.44 1412.00 100.112306 0.9582344752291263 0.963085 -1196659.918803 286.012061 35.848062 155.596602 -141.543464 2586.405696 -5.630 0.000 2.778619 3.159614 1.139 n/a n/a
6 10000.00 1415.00 100.111673 0.9299329546426572 0.937732 -1194148.318216 285.259456 35.587897 154.530185 -132.799173 2553.750274 -5.537 0.000 2.789685 3.165425 1.143 n/a n/a
6 8944.44 1415.00 100.112234 0.9644049082704654 0.968558 -1195913.453065 286.453872 35.882780 155.829286 -142.177472 2593.834493 -5.606 0.000 2.778017 3.158487 1.127 n/a n/a
7 10000.00 1418.00 100.111602 0.9358697159652450 0.943040 -1193415.127087 285.692649 35.620896 154.753964 -133.379139 2560.913936 -5.512 0.000 2.789104 3.164282 1.131 n/a n/a
8 10000.00 1421.00 100.111528 0.9418600829684494 0.948391 -1192677.803434 286.127482 35.654167 154.979694 -133.964547 2568.134599 -5.488 0.000 2.788515 3.163141 1.119 n/a n/a
7 8944.44 1418.00 100.112159 0.9706390297597937 0.974081 -1195162.347619 286.897623 35.917823 156.064289 -142.818145 2601.328139 -5.581 0.000 2.777408 3.157363 1.115 n/a n/a
9 10000.00 1424.00 100.111452 0.9479063516390853 0.953785 -1191936.220705 286.564028 35.687721 155.207460 -134.555613 2575.414043 -5.464 0.000 2.787919 3.162004 1.107 n/a n/a
8 8944.44 1421.00 100.112082 0.9769391679624788 0.979655 -1194406.470546 287.343387 35.953202 156.301696 -143.465712 2608.888608 -5.557 0.000 2.776791 3.156242 1.103 n/a n/a
10 10000.00 1427.00 100.111372 0.9540108177061574 0.959224 -1191190.250994 287.002358 35.721569 155.437345 -135.152551 2582.754074 -5.439 0.000 2.787315 3.160869 1.095 n/a n/a
