Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 5210.00 1157.00 100.000000 45.4275 2.33112 16.296 2.55476 0 11.5641 0.2159 5.49002 0 0 7.84701 4.44535 1.52622 0.723314 1.02457 0.554234
2 5184.95 1157.00 99.996349 45.4291 2.3312 16.2965 2.55485 0 11.5645 0.215908 5.49022 0 0 7.8473 4.44551 1.52628 0.72334 1.02453 0.550685
2 6775.00 1220.00 99.994751 42.7647 2.81763 14.4478 1.97402 0 12.1156 0.281366 8.29436 0 0 10.6929 2.99199 1.14429 0.506261 0.994864 0.97425
2 5625.00 1222.00 99.995311 43.2378 2.76677 13.9093 1.8541 0 12.1571 0.214432 8.92771 0 0 10.669 2.94149 1.09797 0.479493 0.989765 0.755156
3 5159.90 1157.00 99.992693 45.4308 2.33129 16.2971 2.55495 0 11.5649 0.215915 5.49042 0 0 7.84758 4.44567 1.52633 0.723367 1.02448 0.547133
3 6750.00 1220.00 99.989493 42.767 2.81777 14.4485 1.97413 0 12.1162 0.281381 8.2948 0 0 10.6935 2.99215 1.14435 0.506288 0.994808 0.969151
3 5600.00 1222.00 99.990619 43.2398 2.7669 13.9099 1.85419 0 12.1577 0.214442 8.92813 0 0 10.6695 2.94163 1.09802 0.479516 0.989702 0.750607
4 5134.85 1157.00 99.989046 45.4325 2.33138 16.2977 2.55504 0 11.5653 0.215923 5.49062 0 0 7.84787 4.44583 1.52639 0.723393 1.02444 0.54359
4 6725.00 1220.00 99.984248 42.7692 2.81792 14.4493 1.97423 0 12.1169 0.281396 8.29523 0 0 10.694 2.99231 1.14441 0.506314 0.994752 0.964064
4 5575.00 1222.00 99.985938 43.2418 2.76702 13.9106 1.85427 0 12.1582 0.214452 8.92855 0 0 10.67 2.94176 1.09807 0.479538 0.989639 0.74607
5 5109.81 1157.00 99.985409 45.4341 2.33146 16.2983 2.55513 0 11.5658 0.215931 5.49082 0 0 7.84815 4.44599 1.52644 0.723419 1.02439 0.540056
5 6700.00 1220.00 99.979016 42.7714 2.81807 14.45 1.97434 0 12.1175 0.281411 8.29567 0 0 10.6946 2.99246 1.14447 0.506341 0.994696 0.958989
5 5550.00 1222.00 99.981268 43.2439 2.76715 13.9112 1.85436 0 12.1588 0.214462 8.92896 0 0 10.6705 2.9419 1.09812 0.479561 0.989575 0.741544
6 5084.76 1157.00 99.981782 45.4358 2.33154 16.2989 2.55523 0 11.5662 0.215939 5.49102 0 0 7.84844 4.44616 1.5265 0.723446 1.02434 0.536531
6 5525.00 1222.00 99.976610 43.2459 2.76728 13.9119 1.85445 0 12.1594 0.214472 8.92938 0 0 10.671 2.94204 1.09818 0.479583 0.989511 0.73703
