Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 5210.00 1157.00 0.000000 ---
2 5184.95 1157.00 0.003651 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.26091 97.7391
2 6775.00 1220.00 0.005249 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.04108 97.9589
2 5625.00 1222.00 0.004689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.30958 97.6904
3 5159.90 1157.00 0.007307 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.26865 97.7313
3 6750.00 1220.00 0.010507 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.04613 97.9539
3 5600.00 1222.00 0.009381 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.31671 97.6833
4 5134.85 1157.00 0.010954 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.27647 97.7235
4 6725.00 1220.00 0.015752 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.05121 97.9488
4 5575.00 1222.00 0.014062 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32389 97.6761
5 5109.81 1157.00 0.014591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.28436 97.7156
5 6700.00 1220.00 0.020984 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.05633 97.9437
5 5550.00 1222.00 0.018732 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.33114 97.6689
6 5084.76 1157.00 0.018218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.29232 97.7077
6 5525.00 1222.00 0.023390 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.33844 97.6616
7 5059.71 1157.00 0.021837 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.30036 97.6996
7 5500.00 1222.00 0.028038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.34581 97.6542
6 6675.00 1220.00 0.026204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.06149 97.9385
8 5475.00 1222.00 0.032673 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.35324 97.6468
9 5009.61 1157.00 0.029046 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.31666 97.6833
9 5450.00 1222.00 0.037298 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.36074 97.6393
10 4984.56 1157.00 0.032637 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32492 97.6751
7 6650.00 1220.00 0.031411 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.06668 97.9333
10 5425.00 1222.00 0.041911 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.36829 97.6317
11 4959.51 1157.00 0.036219 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.33327 97.6667
8 6625.00 1220.00 0.036606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0719 97.9281
12 4934.47 1157.00 0.039791 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.34169 97.6583
11 5400.00 1222.00 0.046513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.37591 97.6241
13 4909.42 1157.00 0.043355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.35019 97.6498
9 6600.00 1220.00 0.041789 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.07716 97.9228
12 5375.00 1222.00 0.051103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.3836 97.6164
