System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
1 5000.00 1200.00 100.000000 0.9809078788788353 0.980239 -1143411.683944 276.389548 36.180115 147.994109 -206.880815 3483.759599 -8.377 -8.377 2.765834 2.670460 1.301 n/a n/a
2 5000.00 1195.00 100.000000 0.9914580127090918 0.983317 -1140613.962201 276.755164 36.381947 148.286255 -235.338923 3607.690086 -8.315 -8.315 2.771372 1.407343 1.296 n/a n/a
3 5000.00 1190.00 100.000000 0.9996225068955005 0.998676 -1145563.166350 277.241252 36.931761 145.347943 -221.695124 3438.018906 -7.667 -7.667 2.710263 0.771914 1.713 n/a n/a
3 5000.00 1196.00 100.000000 0.9923636843534734 0.984090 -1140429.367614 276.880808 36.386719 148.328988 -235.329497 3608.903655 -8.305 -8.305 2.771360 1.319120 1.291 n/a n/a
2 5000.00 1205.00 100.000000 0.9855362432756849 0.984226 -1142484.027916 277.017972 36.203484 148.226353 -206.741038 3490.226910 -8.326 -8.326 2.765842 2.532718 1.274 n/a n/a
4 5000.00 1197.00 100.000000 0.9932711143846571 0.984866 -1140244.605177 277.006481 36.391496 148.372266 -235.320001 3610.124973 -8.295 -8.295 2.771347 1.221741 1.285 n/a n/a
3 5000.00 1210.00 100.000000 0.9902111875728076 0.988257 -1141545.079431 277.651894 36.226997 150.629754 -206.599664 3496.776239 -8.276 -8.276 2.765830 2.301033 1.246 n/a n/a
5 5000.00 1198.00 100.000000 0.9941803135793116 0.985642 -1140059.673480 277.132184 36.396280 148.416022 -235.310464 3611.353434 -8.284 -8.284 2.771333 1.113686 1.280 n/a n/a
5 5000.00 1180.00 100.000000 0.9996445767342992 0.998757 -1147017.260094 276.244439 36.895253 145.364956 -221.335331 3437.892891 -7.792 -7.792 2.712786 0.774744 1.752 n/a n/a
4 5000.00 1215.00 100.000000 0.9949345490737993 0.992335 -1140597.530989 278.289470 36.250658 150.867564 -206.456411 3503.401035 -8.225 -8.225 2.765798 1.822911 1.219 n/a n/a
6 5000.00 1199.00 100.000000 0.9950913016119820 0.986421 -1139874.571126 277.257917 36.401068 148.460204 -235.300849 3612.588442 -8.274 -8.274 2.771319 0.993081 1.274 n/a n/a
6 5000.00 1175.00 100.000000 0.9996551686181112 0.998795 -1147744.798298 275.743119 36.877027 145.791509 -221.161510 3438.737239 -7.855 -7.855 2.714050 0.776185 1.772 n/a n/a
7 5000.00 1200.00 100.000000 0.9960040898477098 0.987201 -1139689.296807 277.383681 36.405863 148.504768 -235.291181 3613.829568 -8.264 -8.264 2.771303 0.857586 1.269 n/a n/a
5 5000.00 1220.00 100.000000 0.9988017311623624 0.995669 -1139682.703118 278.903008 36.273494 151.063542 -206.400146 3508.861128 -8.173 -8.173 2.765509 0.762662 1.194 n/a n/a
7 5000.00 1170.00 100.000000 0.9996599107787020 0.998814 -1148472.202270 275.240156 36.859198 145.121756 -221.052272 3439.658299 -7.919 -7.919 2.715325 0.777804 1.792 n/a n/a
8 5000.00 1165.00 100.000000 0.9996690542435488 0.998847 -1149198.553907 274.736181 36.841070 145.266190 -220.895636 3438.692505 -7.983 -7.983 2.716595 0.779304 1.812 n/a n/a
6 5000.00 1215.00 100.000000 0.9949345501506905 0.992335 -1140597.530984 278.289470 36.250658 150.867564 -206.456403 3503.401024 -8.225 -8.225 2.765798 1.822911 1.219 n/a n/a
8 5000.00 1201.00 100.000000 0.9965515607322353 0.987665 -1139518.610069 277.499470 36.410284 148.531377 -235.318072 3614.573550 -8.252 -8.252 2.771188 0.767838 1.264 n/a n/a
9 5000.00 1160.00 100.000000 0.9996788118251030 0.998883 -1149925.199702 274.230249 36.822899 145.284286 -220.733076 3438.240741 -8.048 -8.048 2.717865 0.780793 1.833 n/a n/a
7 5000.00 1216.00 100.000000 0.9958851971902380 0.993156 -1140407.458692 278.417106 36.255408 150.915570 -206.427504 3504.734746 -8.215 -8.215 2.765789 1.658251 1.214 n/a n/a
9 5000.00 1200.00 100.000000 0.9960040866211337 0.987201 -1139689.296823 277.383681 36.405863 148.504768 -235.291205 3613.829601 -8.264 -8.264 2.771303 0.857586 1.269 n/a n/a
