Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 2000.00 953.15 100.033162 60.0601 0.579808 20.3832 0.433018 0 2.20927 0.129957 0.259914 0 0 3.72876 5.1383 7.07765 0 0 0
19 7000.00 1077.15 104.187817 57.7803 0.585481 18.1403 0.845892 0 4.31576 0.143971 1.71805 0 0 3.9544 3.4457 4.36711 0 4.70305 0
8 3000.00 934.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.049991 0.229958 0 0 2.41956 3.79931 7.37867 0 0 0
12 4760.00 1106.15 92.923042 60.0497 0.645696 18.1763 0.78887 0 4.02484 0.0860927 4.30464 0 0 7.08113 3.92798 0.914735 0 0 0
21 7000.00 1008.15 107.647691 60.8466 0.250818 16.2567 0.724298 0 3.69539 0.139343 0.715296 0 0 2.82403 3.7344 3.4743 0 7.33875 0
47 1000.00 1169.65 100.158947 54.5034 0.728842 16.7933 1.39223 0 7.10321 0.179714 6.75926 0 0 9.45497 2.12662 0.259587 0 0.698889 0
14 14000.00 1254.15 100.077698 47.663 1.05918 16.697 1.18028 0 6.02182 0.0999224 8.02377 0 0 8.33353 3.94693 1.44887 0.429666 5.09604 0
21 7000.00 1008.15 107.647691 60.8466 0.250818 16.2567 0.724298 0 3.69539 0.139343 0.715296 0 0 2.82403 3.7344 3.4743 0 7.33875 0
13 4760.00 1109.15 92.923042 60.0497 0.645696 18.1763 0.78887 0 4.02484 0.0860927 4.30464 0 0 7.08113 3.92798 0.914735 0 0 0
8 5000.00 1027.15 100.416728 54.9709 0.557676 15.9834 0.73 0 3.72448 0.059751 4.08299 0 0 6.11452 2.82821 0.746888 0 10.2012 0
20 7000.00 1080.15 104.187817 57.7803 0.585481 18.1403 0.845892 0 4.31576 0.143971 1.71805 0 0 3.9544 3.4457 4.36711 0 4.70305 0
9 3000.00 937.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.049991 0.229958 0 0 2.41956 3.79931 7.37867 0 0 0
22 7000.00 1011.15 107.647691 60.8466 0.250818 16.2567 0.724298 0 3.69539 0.139343 0.715296 0 0 2.82403 3.7344 3.4743 0 7.33875 0
14 4760.00 1112.15 92.923042 60.0497 0.645696 18.1763 0.78887 0 4.02484 0.0860927 4.30464 0 0 7.08113 3.92798 0.914735 0 0 0
22 7000.00 1011.15 107.647691 60.8466 0.250818 16.2567 0.724298 0 3.69539 0.139343 0.715296 0 0 2.82403 3.7344 3.4743 0 7.33875 0
21 7000.00 1083.15 104.187817 57.7803 0.585481 18.1403 0.845892 0 4.31576 0.143971 1.71805 0 0 3.9544 3.4457 4.36711 0 4.70305 0
23 7000.00 1014.15 107.647691 60.8466 0.250818 16.2567 0.724298 0 3.69539 0.139343 0.715296 0 0 2.82403 3.7344 3.4743 0 7.33875 0
15 14000.00 1251.15 100.077698 47.663 1.05918 16.697 1.18028 0 6.02182 0.0999224 8.02377 0 0 8.33353 3.94693 1.44887 0.429666 5.09604 0
15 4760.00 1115.15 92.923042 60.0497 0.645696 18.1763 0.78887 0 4.02484 0.0860927 4.30464 0 0 7.08113 3.92798 0.914735 0 0 0875 0
22 7000.00 1086.15 104.187817 57.7803 0.585481 18.1403 0.845892 0 4.31576 0.143971 1.71805 0 0 3.9544 3.4457 4.36711 0 4.70305 0
10 3000.00 940.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.049991 0.229958 0 0 2.41956 3.79931 7.37867 0 0 0
24 7000.00 1017.15 107.647691 60.8466 0.250818 16.2567 0.724298 0 3.69539 0.139343 0.715296 0 0 2.82403 3.7344 3.4743 0 7.33875 0
23 7000.00 1085.15 104.187817 57.7803 0.585481 18.1403 0.845892 0 4.31576 0.143971 1.71805 0 0 3.9544 3.4457 4.36711 0 4.70305 0
16 4760.00 1118.15 92.923042 60.0497 0.645696 18.1763 0.78887 0 4.02484 0.0860927 4.30464 0 0 7.08113 3.92798 0.914735 0 0 0
9 5000.00 1024.15 100.416728 54.9709 0.557676 15.9834 0.73 0 3.72448 0.059751 4.08299 0 0 6.11452 2.82821 0.746888 0 10.2012 0
24 7000.00 1017.15 107.647691 60.8466 0.250818 16.2567 0.724298 0 3.69539 0.139343 0.715296 0 0 2.82403 3.7344 3.4743 0 7.33875 0
24 7000.00 1084.15 104.187817 57.7803 0.585481 18.1403 0.845892 0 4.31576 0.143971 1.71805 0 0 3.9544 3.4457 4.36711 0 4.70305 0
16 14000.00 1248.15 100.077698 47.663 1.05918 16.697 1.18028 0 6.02182 0.0999224 8.02377 0 0 8.33353 3.94693 1.44887 0.429666 5.09604 0
