Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
1 2080.00 1123.15 106.043302 69.6885 0.254613 14.711 0.150822 0 0.769497 0.0282903 0.518656 0 0 2.06519 3.4137 3.20624 0 5.19351281325
2 1500.00 1295.15 102.845572 56.7744 1.01122 16.9088 0.639864 0 3.2646 0.165296 3.13091 0 0 8.13842 5.27004 1.39043 0 3.30593
2 10000.00 1445.15 100.124503 49.7381 1.07866 19.1362 1.24795 0 6.36707 0.109863 5.47319 0 0 8.48943 3.58554 0.509366 0 4.26469
2 7000.00 1430.15 101.809207 50.683 1.03134 16.6979 1.96368 0 10.0187 0.166979 5.88355 0 0 9.41958 2.09215 0.47147 0 1.57157
2 12000.00 1460.15 100.353634 48.628 0.597886 16.4419 1.33641 0 6.81839 0.109612 8.27075 0 0 9.11776 2.83996 0.41852 0.139507 5.28132
3 1500.00 1292.15 102.845572 56.7744 1.01122 16.9088 0.639864 0 3.2646 0.165296 3.13091 0 0 8.13842 5.27004 1.39043 0 3.30593
2 1613.00 1270.15 95.877425 58.095 0.855259 18.1482 0.573422 0 2.92561 0 3.23329 0 0 5.88251 4.38059 1.53321 0 4.37292
2 4169.00 1120.15 108.449609 65.0286 0.319497 14.3474 0.395374 0 2.01721 0.0653202 0.309968 0 0 1.4412 5.21141 2.93993 0 7.9241
3 10000.00 1442.15 100.124503 49.7381 1.07866 19.1362 1.24795 0 6.36707 0.109863 5.47319 0 0 8.48943 3.58554 0.509366 0 4.26469
3 7000.00 1427.15 101.809207 50.683 1.03134 16.6979 1.96368 0 10.0187 0.166979 5.88355 0 0 9.41958 2.09215 0.47147 0 1.57157
3 16000.00 1622.15 99.197747 46.7753 0.685499 17.3391 1.49474 0 7.62618 0.11089 12.6011 0 0 10.8369 2.30852 0.0705661 0.151213 0
3 12000.00 1457.15 100.322884 51.0352 0.627972 19.3376 1.12924 0 5.7614 0.159485 5.88101 0 0 8.3929 3.52861 0.478455 0.179421 3.48874
2 1475.00 1270.15 97.173114 62.1571 0.596873 16.2596 0.620639 0 3.16651 0 2.05818 0 0 5.094 4.01346 1.88324 0 4.150340 7.40818
4 1500.00 1289.15 102.845572 56.7744 1.01122 16.9088 0.639864 0 3.2646 0.165296 3.13091 0 0 8.13842 5.27004 1.39043 0 3.30593
4 10000.00 1439.15 100.124503 49.7381 1.07866 19.1362 1.24795 0 6.36707 0.109863 5.47319 0 0 8.48943 3.58554 0.509366 0 4.26469
4 7000.00 1424.15 101.809207 50.683 1.03134 16.6979 1.96368 0 10.0187 0.166979 5.88355 0 0 9.41958 2.09215 0.47147 0 1.57157
4 16000.00 1619.15 99.197747 46.7753 0.685499 17.3391 1.49474 0 7.62618 0.11089 12.6011 0 0 10.8369 2.30852 0.0705661 0.151213 0
4 1030.00 1484.15 100.877458 49.8526 0.33722 17.1828 1.04271 0 5.31991 0 9.70278 0 0 11.3928 2.91885 0 0 2.25025
4 2000.00 1214.15 104.512544 64.6047 0.813299 14.2758 0.69661 0 3.55412 0.124387 1.26301 0 0 4.15261 4.38225 1.25344 0 4.8798
4 3000.00 1454.15 100.897586 50.5463 0.852349 16.155 1.86584 0 9.51955 0.158577 8.22616 0 0 9.86148 1.78399 0.336975 0 0.693773.48874
4 1.01 1424.15 98.887508 51.2704 1.85059 13.4496 2.10594 0 10.7445 0.212363 7.13943 0 0 11.6294 1.48654 0.111238 0 0
3 1613.00 1267.15 95.882160 58.0921 0.855216 18.1473 0.573393 0 2.92547 0 3.23314 0 0 5.88222 4.38038 1.53313 0 4.37764
3 2080.00 1117.15 106.054028 69.6815 0.254587 14.7095 0.150807 0 0.769419 0.0282875 0.518604 0 0 2.06499 3.41335 3.20591 0 5.20309
3 4169.00 1117.15 108.467434 65.0179 0.319445 14.345 0.395309 0 2.01688 0.0653095 0.309917 0 0 1.44097 5.21055 2.93945 0 7.93923
3 3949.00 1283.15 107.025136 50.362 0.80355 17.7528 1.30136 0 6.63956 0.177528 4.02709 0 0 8.95117 2.89652 0.70077 0 6.38762
3 2320.00 1327.15 97.440314 51.3956 1.54967 15.4659 1.1587 0 5.91172 0.0923642 4.57716 0 0 6.95811 4.82347 3.18143 0 4.88594469
5 7000.00 1421.15 101.809207 50.683 1.03134 16.6979 1.96368 0 10.0187 0.166979 5.88355 0 0 9.41958 2.09215 0.47147 0 1.57157
3 1475.00 1267.15 97.177094 62.1546 0.596848 16.259 0.620613 0 3.16638 0 2.0581 0 0 5.09379 4.01329 1.88316 0 4.15427
3 7020.00 1407.15 108.182427 48.6863 0.915121 15.1411 1.30438 0 6.65496 0.20336 6.91425 0 0 8.13441 3.86384 0.757979 0 7.42433
5 16000.00 1616.15 99.197747 46.7753 0.685499 17.3391 1.49474 0 7.62618 0.11089 12.6011 0 0 10.8369 2.30852 0.0705661 0.151213 0
5 1030.00 1481.15 100.877458 49.8526 0.33722 17.1828 1.04271 0 5.31991 0 9.70278 0 0 11.3928 2.91885 0 0 2.25025
5 2000.00 1211.15 104.512544 64.6047 0.813299 14.2758 0.69661 0 3.55412 0.124387 1.26301 0 0 4.15261 4.38225 1.25344 0 4.8798
5 12000.00 1451.15 100.322884 51.0352 0.627972 19.3376 1.12924 0 5.7614 0.159485 5.88101 0 0 8.3929 3.52861 0.478455 0.179421 3.48874
5 12000.00 1451.15 100.353634 48.628 0.597886 16.4419 1.33641 0 6.81839 0.109612 8.27075 0 0 9.11776 2.83996 0.41852 0.139507 5.28132
3 1500.00 1092.15 96.289338 74.4403 0.347217 11.4592 0.229541 0 1.17112 0.0695819 0.299791 0 0 1.92977 3.84977 1.5469 0.113114 4.54366
6 10000.00 1433.15 100.124503 49.7381 1.07866 19.1362 1.24795 0 6.36707 0.109863 5.47319 0 0 8.48943 3.58554 0.509366 0 4.26469
6 7000.00 1418.15 101.809207 50.683 1.03134 16.6979 1.96368 0 10.0187 0.166979 5.88355 0 0 9.41958 2.09215 0.47147 0 1.57157
6 16000.00 1613.15 99.197747 46.7753 0.685499 17.3391 1.49474 0 7.62618 0.11089 12.6011 0 0 10.8369 2.30852 0.0705661 0.151213 0
6 1030.00 1478.15 100.877458 49.8526 0.33722 17.1828 1.04271 0 5.31991 0 9.70278 0 0 11.3928 2.91885 0 0 2.25025
4 4169.00 1114.15 108.485373 65.0072 0.319392 14.3427 0.395244 0 2.01654 0.0652987 0.309866 0 0 1.44073 5.20969 2.93896 0 7.95446
6 2000.00 1208.15 104.512544 64.6047 0.813299 14.2758 0.69661 0 3.55412 0.124387 1.26301 0 0 4.15261 4.38225 1.25344 0 4.8798
6 12000.00 1448.15 100.322884 51.0352 0.627972 19.3376 1.12924 0 5.7614 0.159485 5.88101 0 0 8.3929 3.52861 0.478455 0.179421 3.48874
6 1.01 1418.15 98.887508 51.2704 1.85059 13.4496 2.10594 0 10.7445 0.212363 7.13943 0 0 11.6294 1.48654 0.111238 0 0 0 4.9776
6 12000.00 1448.15 100.353634 48.628 0.597886 16.4419 1.33641 0 6.81839 0.109612 8.27075 0 0 9.11776 2.83996 0.41852 0.139507 5.28132
4 2080.00 1114.15 106.059409 69.6779 0.254574 14.7087 0.150799 0 0.76938 0.028286 0.518577 0 0 2.06488 3.41318 3.20575 0 5.2079
4 2320.00 1324.15 97.447030 51.392 1.54956 15.4648 1.15862 0 5.91131 0.0923579 4.57685 0 0 6.95763 4.82313 3.18122 0 4.8925
4 1475.00 1264.15 97.181093 62.152 0.596824 16.2583 0.620588 0 3.16625 0 2.05801 0 0 5.09358 4.01313 1.88308 0 4.15821
7 10000.00 1430.15 100.124503 49.7381 1.07866 19.1362 1.24795 0 6.36707 0.109863 5.47319 0 0 8.48943 3.58554 0.509366 0 4.26469
7 7000.00 1415.15 101.809207 50.683 1.03134 16.6979 1.96368 0 10.0187 0.166979 5.88355 0 0 9.41958 2.09215 0.47147 0 1.57157
4 3949.00 1280.15 107.037514 50.3562 0.803457 17.7508 1.30121 0 6.63879 0.177508 4.02663 0 0 8.95013 2.89618 0.700689 0 6.39844
7 16000.00 1610.15 99.197747 46.7753 0.685499 17.3391 1.49474 0 7.62618 0.11089 12.6011 0 0 10.8369 2.30852 0.0705661 0.151213 0
7 1030.00 1475.15 100.877458 49.8526 0.33722 17.1828 1.04271 0 5.31991 0 9.70278 0 0 11.3928 2.91885 0 0 2.25025
7 2000.00 1205.15 104.512544 64.6047 0.813299 14.2758 0.69661 0 3.55412 0.124387 1.26301 0 0 4.15261 4.38225 1.25344 0 4.8798
7 3000.00 1445.15 100.897586 50.5463 0.852349 16.155 1.86584 0 9.51955 0.158577 8.22616 0 0 9.86148 1.78399 0.336975 0 0.693773
7 12000.00 1445.15 100.322884 51.0352 0.627972 19.3376 1.12924 0 5.7614 0.159485 5.88101 0 0 8.3929 3.52861 0.478455 0.179421 3.48874
7 7000.00 1205.15 104.468117 55.4236 0.756212 17.3259 1.32683 0 6.76953 0.153157 1.75173 0 0 4.49898 4.47984 2.53666 0 4.9776
7 1.01 1415.15 98.887508 51.2704 1.85059 13.4496 2.10594 0 10.7445 0.212363 7.13943 0 0 11.6294 1.48654 0.111238 0 0 2.062913
7 12000.00 1445.15 100.353634 48.628 0.597886 16.4419 1.33641 0 6.81839 0.109612 8.27075 0 0 9.11776 2.83996 0.41852 0.139507 5.28132
4 1500.00 1089.15 96.293036 74.4375 0.347204 11.4588 0.229532 0 1.17108 0.0695793 0.299779 0 0 1.9297 3.84962 1.54684 0.11311 4.54733
8 10000.00 1427.15 100.124503 49.7381 1.07866 19.1362 1.24795 0 6.36707 0.109863 5.47319 0 0 8.48943 3.58554 0.509366 0 4.26469
8 7000.00 1412.15 101.809207 50.683 1.03134 16.6979 1.96368 0 10.0187 0.166979 5.88355 0 0 9.41958 2.09215 0.47147 0 1.57157
8 16000.00 1607.15 99.197747 46.7753 0.685499 17.3391 1.49474 0 7.62618 0.11089 12.6011 0 0 10.8369 2.30852 0.0705661 0.151213 0
8 1030.00 1472.15 100.877458 49.8526 0.33722 17.1828 1.04271 0 5.31991 0 9.70278 0 0 11.3928 2.91885 0 0 2.25025
5 1613.00 1261.15 95.891700 58.0864 0.855131 18.1455 0.573336 0 2.92517 0 3.23281 0 0 5.88164 4.37994 1.53298 0 4.38716
8 2000.00 1202.15 104.512544 64.6047 0.813299 14.2758 0.69661 0 3.55412 0.124387 1.26301 0 0 4.15261 4.38225 1.25344 0 4.8798
5 4169.00 1111.15 108.503428 64.9963 0.319339 14.3403 0.395178 0 2.01621 0.0652878 0.309814 0 0 1.44049 5.20882 2.93847 0 7.96978
5 2320.00 1321.15 97.453783 51.3885 1.54945 15.4637 1.15854 0 5.9109 0.0923515 4.57653 0 0 6.95714 4.8228 3.18099 0 4.89909.21272
8 12000.00 1442.15 100.322884 51.0352 0.627972 19.3376 1.12924 0 5.7614 0.159485 5.88101 0 0 8.3929 3.52861 0.478455 0.179421 3.48874
8 7000.00 1202.15 104.468117 55.4236 0.756212 17.3259 1.32683 0 6.76953 0.153157 1.75173 0 0 4.49898 4.47984 2.53666 0 4.9776
5 7020.00 1401.15 108.220580 48.6691 0.914798 15.1358 1.30392 0 6.65262 0.203289 6.91181 0 0 8.13154 3.86248 0.757712 0 7.45697.28132
9 10000.00 1424.15 100.124503 49.7381 1.07866 19.1362 1.24795 0 6.36707 0.109863 5.47319 0 0 8.48943 3.58554 0.509366 0 4.26469
9 7000.00 1409.15 101.809207 50.683 1.03134 16.6979 1.96368 0 10.0187 0.166979 5.88355 0 0 9.41958 2.09215 0.47147 0 1.57157
9 16000.00 1604.15 99.197747 46.7753 0.685499 17.3391 1.49474 0 7.62618 0.11089 12.6011 0 0 10.8369 2.30852 0.0705661 0.151213 0
5 3949.00 1277.15 107.049967 50.3503 0.803363 17.7487 1.30106 0 6.63802 0.177487 4.02616 0 0 8.94909 2.89584 0.700607 0 6.40933
9 1030.00 1469.15 100.877458 49.8526 0.33722 17.1828 1.04271 0 5.31991 0 9.70278 0 0 11.3928 2.91885 0 0 2.25025
9 2000.00 1199.15 104.512544 64.6047 0.813299 14.2758 0.69661 0 3.55412 0.124387 1.26301 0 0 4.15261 4.38225 1.25344 0 4.8798
9 3000.00 1439.15 100.897586 50.5463 0.852349 16.155 1.86584 0 9.51955 0.158577 8.22616 0 0 9.86148 1.78399 0.336975 0 0.693773.48874
9 7000.00 1199.15 104.468117 55.4236 0.756212 17.3259 1.32683 0 6.76953 0.153157 1.75173 0 0 4.49898 4.47984 2.53666 0 4.9776
9 7000.00 1434.15 101.798134 49.3133 1.15916 16.798 1.46789 0 7.48919 0.166997 8.09445 0 0 9.9216 3.01577 0.510815 0 2.06291
9 1.01 1409.15 98.887508 51.2704 1.85059 13.4496 2.10594 0 10.7445 0.212363 7.13943 0 0 11.6294 1.48654 0.111238 0 0 0 3.30593
9 12000.00 1439.15 100.353634 48.628 0.597886 16.4419 1.33641 0 6.81839 0.109612 8.27075 0 0 9.11776 2.83996 0.41852 0.139507 5.28132
10 7000.00 1406.15 101.809207 50.683 1.03134 16.6979 1.96368 0 10.0187 0.166979 5.88355 0 0 9.41958 2.09215 0.47147 0 1.57157
5 1500.00 1086.15 96.296743 74.4346 0.347191 11.4583 0.229523 0 1.17103 0.0695766 0.299768 0 0 1.92963 3.84947 1.54678 0.113105 4.551
10 16000.00 1601.15 99.197747 46.7753 0.685499 17.3391 1.49474 0 7.62618 0.11089 12.6011 0 0 10.8369 2.30852 0.0705661 0.151213 0
10 1030.00 1466.15 100.877458 49.8526 0.33722 17.1828 1.04271 0 5.31991 0 9.70278 0 0 11.3928 2.91885 0 0 2.25025
6 1613.00 1258.15 95.896505 58.0835 0.855089 18.1446 0.573307 0 2.92503 0 3.23265 0 0 5.88134 4.37972 1.5329 0 4.39195
6 4169.00 1108.15 108.521600 64.9855 0.319285 14.3379 0.395112 0 2.01587 0.0652769 0.309762 0 0 1.44025 5.20795 2.93798 0 7.98519
6 2320.00 1318.15 97.460571 51.3849 1.54934 15.4627 1.15846 0 5.91049 0.092345 4.57621 0 0 6.95666 4.82246 3.18077 0 4.90571
10 2000.00 1196.15 104.512544 64.6047 0.813299 14.2758 0.69661 0 3.55412 0.124387 1.26301 0 0 4.15261 4.38225 1.25344 0 4.87981755
6 7020.00 1398.15 108.239871 48.6604 0.914635 15.1331 1.30368 0 6.65143 0.203252 6.91058 0 0 8.13009 3.86179 0.757577 0 7.47346
10 3000.00 1436.15 100.897586 50.5463 0.852349 16.155 1.86584 0 9.51955 0.158577 8.22616 0 0 9.86148 1.78399 0.336975 0 0.693773
10 12000.00 1436.15 100.322884 51.0352 0.627972 19.3376 1.12924 0 5.7614 0.159485 5.88101 0 0 8.3929 3.52861 0.478455 0.179421 3.48874
10 7000.00 1196.15 104.468117 55.4236 0.756212 17.3259 1.32683 0 6.76953 0.153157 1.75173 0 0 4.49898 4.47984 2.53666 0 4.9776
10 7000.00 1431.15 101.798134 49.3133 1.15916 16.798 1.46789 0 7.48919 0.166997 8.09445 0 0 9.9216 3.01577 0.510815 0 2.06291
