System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
1 4000.00 1200.00 102.635634 1.0000000000000000 1.000000 -1224518.266845 321.314805 43.098212 163.249918 -311.111525 5850.038748 -7.719 -7.719 2.381436 0.000000 1.029 n/a n/a
2 4000.00 1197.00 102.635634 1.0000000000000000 1.000000 -1225008.010730 320.982020 43.080663 163.245998 -311.077865 5849.705172 -7.756 -7.756 2.382406 0.000000 1.039 n/a n/a
3 4000.00 1194.00 102.635634 1.0000000000000000 1.000000 -1225497.742796 320.648562 43.063114 163.242039 -311.043804 5849.371198 -7.793 -7.793 2.383377 0.000000 1.049 n/a n/a
4 4000.00 1191.00 102.635634 1.0000000000000000 1.000000 -1225987.462923 320.314430 43.045567 163.238039 -311.009343 5849.036823 -7.830 -7.830 2.384349 0.000000 1.059 n/a n/a
5 4000.00 1188.00 102.635634 1.0000000000000000 1.000000 -1226477.170993 319.979621 43.028020 163.234001 -310.974481 5848.702046 -7.867 -7.867 2.385321 0.000000 1.069 n/a n/a
6 4000.00 1185.00 102.635634 1.0000000000000000 1.000000 -1226966.866890 319.644133 43.010474 163.229924 -310.939219 5848.366865 -7.905 -7.905 2.386294 0.000000 1.080 n/a n/a
7 4000.00 1182.00 102.635634 1.0000000000000000 1.000000 -1227456.550496 319.307962 42.992930 163.225807 -310.903554 5848.031278 -7.943 -7.943 2.387268 0.000000 1.090 n/a n/a
8 4000.00 1179.00 102.635634 1.0000000000000000 1.000000 -1227946.221696 318.971105 42.975386 163.221653 -310.867489 5847.695285 -7.981 -7.981 2.388242 0.000000 1.100 n/a n/a
9 4000.00 1176.00 102.635634 1.0000000000000000 1.000000 -1228435.880377 318.633561 42.957844 163.217461 -310.831021 5847.358883 -8.019 -8.019 2.389218 0.000000 1.110 n/a n/a
10 4000.00 1173.00 102.635634 1.0000000000000000 1.000000 -1228925.526424 318.295325 42.940302 163.213231 -310.794150 5847.022070 -8.057 -8.057 2.390194 0.000000 1.121 n/a n/a
11 4000.00 1170.00 102.635634 1.0000000000000000 1.000000 -1229415.159727 317.956397 42.922762 163.208964 -310.756877 5846.684846 -8.096 -8.096 2.391170 0.000000 1.131 n/a n/a
12 4000.00 1167.00 102.635634 1.0000000000000000 1.000000 -1229904.780173 317.616772 42.905222 163.204661 -310.719200 5846.347207 -8.134 -8.134 2.392148 0.000000 1.141 n/a n/a
13 4000.00 1164.00 102.635634 1.0000000000000000 1.000000 -1230394.387654 317.276447 42.887683 163.200321 -310.681120 5846.009153 -8.173 -8.173 2.393126 0.000000 1.152 n/a n/a
14 4000.00 1161.00 102.635634 1.0000000000000000 1.000000 -1230883.982061 316.935421 42.870146 163.195945 -310.642636 5845.670682 -8.212 -8.212 2.394105 0.000000 1.162 n/a n/a
15 4000.00 1158.00 102.635634 1.0000000000000000 1.000000 -1231373.563287 316.593689 42.852609 163.191533 -310.603747 5845.331792 -8.252 -8.252 2.395085 0.000000 1.173 n/a n/a
16 4000.00 1155.00 102.635634 1.0000000000000000 1.000000 -1231863.131227 316.251250 42.835074 163.187087 -310.564454 5844.992482 -8.291 -8.291 2.396065 0.000000 1.183 n/a n/a
17 4000.00 1152.00 102.635634 1.0000000000000000 1.000000 -1232352.685775 315.908100 42.817539 163.182606 -310.524756 5844.652748 -8.331 -8.331 2.397047 0.000000 1.194 n/a n/a
18 4000.00 1149.00 102.635634 1.0000000000000000 1.000000 -1232842.226829 315.564237 42.800006 163.178091 -310.484652 5844.312591 -8.371 -8.371 2.398028 0.000000 1.205 n/a n/a
19 4000.00 1146.00 102.635634 1.0000000000000000 1.000000 -1233331.754287 315.219657 42.782474 163.173542 -310.444142 5843.972008 -8.411 -8.411 2.399011 0.000000 1.215 n/a n/a
20 4000.00 1143.00 102.635634 1.0000000000000000 1.000000 -1233821.268050 314.874357 42.764942 163.168961 -310.403225 5843.630998 -8.451 -8.451 2.399995 0.000000 1.226 n/a n/a
