System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
1 40000.00 1483.12 100.000000 0.0000000000000000 0.018704 -1157234.793014 259.823367 30.527398 125.892389 -20.386280 1506.272748 -3.975 -3.975 0.000000 3.275746 0.000 n/a n/a
2 39593.22 1483.12 100.000000 0.0000000000000000 0.018698 -1158355.066436 259.892673 30.537281 125.928524 -20.417855 1506.414449 -3.995 -3.995 0.000000 3.274686 0.000 n/a n/a
3 39593.22 1482.12 100.000000 0.0000000000000000 0.018699 -1158484.040189 259.819216 30.535576 125.921580 -20.417454 1505.936080 -4.000 -4.000 0.000000 3.274869 0.000 n/a n/a
4 39593.22 1481.12 100.000000 0.0000000000000000 0.018700 -1158613.000013 259.745725 30.533871 125.914630 -20.417054 1505.457732 -4.004 -4.004 0.000000 3.275051 0.000 n/a n/a
5 39593.22 1480.12 100.000000 0.0000000000000000 0.018701 -1158741.945939 259.672200 30.532168 125.907672 -20.416654 1504.979405 -4.009 -4.009 0.000000 3.275234 0.000 n/a n/a
6 39593.22 1482.18 100.000000 0.0000000000000000 0.018699 -1158476.753600 259.823367 30.535672 125.921973 -20.417477 1505.963107 -3.999 -3.999 0.000000 3.274858 0.000 n/a n/a
7 39186.44 1482.18 100.000000 0.0000000000000000 0.018692 -1159597.217538 259.892794 30.545606 125.958145 -20.449169 1506.108357 -4.020 -4.020 0.000000 3.273793 0.000 n/a n/a
8 39186.44 1481.18 100.000000 0.0000000000000000 0.018693 -1159726.248761 259.819265 30.543897 125.951171 -20.448761 1505.629731 -4.025 -4.025 0.000000 3.273976 0.000 n/a n/a
9 39186.44 1480.18 100.000000 0.0000000000000000 0.018695 -1159855.265818 259.745702 30.542190 125.944189 -20.448354 1505.151126 -4.029 -4.029 0.000000 3.274159 0.000 n/a n/a
10 39186.44 1479.18 100.000000 0.0000000000000000 0.018696 -1159984.268740 259.672105 30.540484 125.937201 -20.447947 1504.672542 -4.034 -4.034 0.000000 3.274342 0.000 n/a n/a
11 39186.44 1481.23 100.000000 0.0000000000000000 0.018693 -1159719.051705 259.823367 30.543993 125.951560 -20.448784 1505.656428 -4.024 -4.024 0.000000 3.273966 0.000 n/a n/a
12 38779.66 1481.23 100.000000 0.0000000000000000 0.018687 -1160839.701356 259.892919 30.553978 125.987772 -20.480598 1505.805346 -4.045 -4.045 0.000000 3.272896 0.000 n/a n/a
13 38779.66 1480.23 100.000000 0.0000000000000000 0.018688 -1160968.790894 259.819317 30.552267 125.980766 -20.480183 1505.326455 -4.050 -4.050 0.000000 3.273080 0.000 n/a n/a
14 38779.66 1479.23 100.000000 0.0000000000000000 0.018689 -1161097.866018 259.745681 30.550557 125.973753 -20.479768 1504.847586 -4.054 -4.054 0.000000 3.273263 0.000 n/a n/a
15 38779.66 1478.23 100.000000 0.0000000000000000 0.018690 -1161226.926762 259.672012 30.548847 125.966733 -20.479354 1504.368739 -4.059 -4.059 0.000000 3.273446 0.000 n/a n/a
16 38779.66 1480.29 100.000000 0.0000000000000000 0.018688 -1160961.689249 259.823367 30.552361 125.981152 -20.480205 1505.352801 -4.049 -4.049 0.000000 3.273069 0.000 n/a n/a
17 38372.88 1480.29 100.000000 0.0000000000000000 0.018682 -1162082.519561 259.893049 30.562400 126.017404 -20.512145 1505.505510 -4.071 -4.071 0.000000 3.271994 0.000 n/a n/a
18 38372.88 1479.29 100.000000 0.0000000000000000 0.018683 -1162211.668304 259.819373 30.560686 126.010367 -20.511723 1505.026348 -4.075 -4.075 0.000000 3.272178 0.000 n/a n/a
19 38372.88 1478.29 100.000000 0.0000000000000000 0.018684 -1162340.802373 259.745664 30.558972 126.003323 -20.511301 1504.547207 -4.080 -4.080 0.000000 3.272361 0.000 n/a n/a
20 38372.88 1477.29 100.000000 0.0000000000000000 0.018685 -1162469.921806 259.671921 30.557260 125.996272 -20.510880 1504.068089 -4.085 -4.085 0.000000 3.272545 0.000 n/a n/a
21 38372.88 1479.34 100.000000 0.0000000000000000 0.018683 -1162204.668198 259.823367 30.560779 126.010749 -20.511746 1505.052320 -4.075 -4.075 0.000000 3.272168 0.000 n/a n/a
22 37966.10 1479.34 100.000000 0.0000000000000000 0.018677 -1163325.673859 259.893182 30.570873 126.047044 -20.543816 1505.208949 -4.096 -4.096 0.000000 3.271088 0.000 n/a n/a
23 37966.10 1478.34 100.000000 0.0000000000000000 0.018678 -1163454.882739 259.819433 30.569155 126.039975 -20.543385 1504.729507 -4.101 -4.101 0.000000 3.271271 0.000 n/a n/a
