Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
1 4846.77 900.00 100.012469 64.5242 0.0748347 10.2274 0.124436 0 0.428505 0 0.0166299 0 0 0.340914 3.73342 3.89972 0 16.6299
12 5000.00 867.00 100.012791 64.524 0.0748345 10.2274 0.127651 0 0.42561 0 0.0166299 0 0 0.340913 3.73341 3.89971 0 16.6299
8 4693.55 879.00 100.012825 64.5239 0.0748345 10.2274 0.127992 0 0.425302 0 0.0166299 0 0 0.340913 3.73341 3.89971 0 16.6299
9 4693.55 876.00 100.012865 64.5239 0.0748344 10.2274 0.128389 0 0.424945 0 0.0166299 0 0 0.340912 3.73341 3.89971 0 16.6299
65 3927.42 749.50 100.015785 64.522 0.0748323 10.2271 0.157527 0 0.39871 0 0.0166294 0 0 0.340903 3.7333 3.89959 0 16.6294
13 5000.00 864.00 100.012832 64.5239 0.0748345 10.2274 0.128058 0 0.425243 0 0.0166299 0 0 0.340913 3.73341 3.89971 0 16.6299
10 4693.55 873.00 100.012905 64.5239 0.0748344 10.2274 0.12879 0 0.424584 0 0.0166299 0 0 0.340912 3.73341 3.8997 0 16.6299
14 5000.00 861.00 100.012873 64.5239 0.0748344 10.2274 0.12847 0 0.424872 0 0.0166299 0 0 0.340912 3.73341 3.89971 0 16.6299
11 4540.32 870.00 100.013044 64.5238 0.0748343 10.2274 0.130176 0 0.423336 0 0.0166298 0 0 0.340912 3.7334 3.8997 0 16.6298
11 4693.55 870.00 100.012946 64.5239 0.0748344 10.2274 0.129197 0 0.424218 0 0.0166299 0 0 0.340912 3.7334 3.8997 0 16.6299
15 5000.00 858.00 100.012915 64.5239 0.0748344 10.2274 0.128888 0 0.424496 0 0.0166299 0 0 0.340912 3.73341 3.8997 0 16.6299
12 4693.55 867.00 100.012987 64.5238 0.0748344 10.2274 0.12961 0 0.423846 0 0.0166299 0 0 0.340912 3.7334 3.8997 0 16.6299
2 4233.87 897.00 100.012880 64.5239 0.0748344 10.2274 0.128542 0 0.424808 0 0.0166299 0 0 0.340912 3.73341 3.89971 0 16.6299
2 4846.77 897.00 100.012504 64.5242 0.0748347 10.2274 0.124792 0 0.428184 0 0.0166299 0 0 0.340914 3.73342 3.89972 0 16.6299
13 4693.55 864.00 100.013029 64.5238 0.0748343 10.2274 0.130028 0 0.42347 0 0.0166298 0 0 0.340912 3.7334 3.8997 0 16.6298
12 4540.32 867.00 100.013086 64.5238 0.0748343 10.2274 0.130594 0 0.42296 0 0.0166298 0 0 0.340912 3.7334 3.8997 0 16.6298
3 4233.87 894.00 100.012918 64.5239 0.0748344 10.2274 0.128921 0 0.424466 0 0.0166299 0 0 0.340912 3.73341 3.8997 0 16.6299
13 4540.32 864.00 100.013128 64.5238 0.0748343 10.2273 0.131017 0 0.422579 0 0.0166298 0 0 0.340912 3.7334 3.8997 0 16.6298
14 4693.55 861.00 100.013071 64.5238 0.0748343 10.2274 0.130451 0 0.423089 0 0.0166298 0 0 0.340912 3.7334 3.8997 0 16.6298
21 4387.10 840.00 100.013593 64.5235 0.0748339 10.2273 0.135653 0 0.418405 0 0.0166298 0 0 0.34091 3.73338 3.89968 0 16.6298
3 4846.77 894.00 100.012541 64.5241 0.0748347 10.2274 0.125153 0 0.427859 0 0.0166299 0 0 0.340914 3.73342 3.89972 0 16.6299
22 4387.10 837.00 100.013641 64.5234 0.0748339 10.2273 0.136136 0 0.41797 0 0.0166297 0 0 0.34091 3.73338 3.89968 0 16.6297
4 4846.77 891.00 100.012577 64.5241 0.0748347 10.2274 0.125519 0 0.427529 0 0.0166299 0 0 0.340913 3.73342 3.89972 0 16.6299
23 4387.10 834.00 100.013690 64.5234 0.0748338 10.2273 0.136626 0 0.417529 0 0.0166297 0 0 0.34091 3.73338 3.89967 0 16.6297
33 4080.65 804.00 100.014443 64.5229 0.0748333 10.2272 0.144137 0 0.410767 0 0.0166296 0 0 0.340907 3.73335 3.89964 0 16.6296
24 4387.10 831.00 100.013740 64.5234 0.0748338 10.2273 0.137122 0 0.417082 0 0.0166297 0 0 0.34091 3.73337 3.89967 0 16.6297
25 4387.10 828.00 100.013790 64.5233 0.0748338 10.2273 0.137625 0 0.416629 0 0.0166297 0 0 0.340909 3.73337 3.89967 0 16.6297
4 4233.87 891.00 100.012957 64.5239 0.0748344 10.2274 0.129306 0 0.42412 0 0.0166299 0 0 0.340912 3.7334 3.8997 0 16.6299
14 4540.32 861.00 100.013171 64.5237 0.0748342 10.2273 0.131446 0 0.422192 0 0.0166298 0 0 0.340911 3.7334 3.89969 0 16.6298
5 4233.87 888.00 100.012996 64.5238 0.0748343 10.2274 0.129696 0 0.423768 0 0.0166299 0 0 0.340912 3.7334 3.8997 0 16.6299
6 4233.87 885.00 100.013035 64.5238 0.0748343 10.2274 0.130091 0 0.423413 0 0.0166298 0 0 0.340912 3.7334 3.8997 0 16.6298
15 4540.32 858.00 100.013215 64.5237 0.0748342 10.2273 0.131881 0 0.421801 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
7 4233.87 882.00 100.013076 64.5238 0.0748343 10.2274 0.130491 0 0.423052 0 0.0166298 0 0 0.340912 3.7334 3.8997 0 16.6298
8 4233.87 879.00 100.013116 64.5238 0.0748343 10.2273 0.130897 0 0.422687 0 0.0166298 0 0 0.340912 3.7334 3.8997 0 16.6298
16 4540.32 855.00 100.013259 64.5237 0.0748342 10.2273 0.132322 0 0.421404 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
16 5000.00 855.00 100.012957 64.5239 0.0748344 10.2274 0.129312 0 0.424115 0 0.0166299 0 0 0.340912 3.7334 3.8997 0 16.6299
15 4693.55 858.00 100.013114 64.5238 0.0748343 10.2273 0.13088 0 0.422702 0 0.0166298 0 0 0.340912 3.7334 3.8997 0 16.6298
17 4540.32 852.00 100.013304 64.5236 0.0748341 10.2273 0.132768 0 0.421002 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
5 4846.77 888.00 100.012614 64.5241 0.0748346 10.2274 0.12589 0 0.427195 0 0.0166299 0 0 0.340913 3.73342 3.89972 0 16.6299
16 4693.55 855.00 100.013158 64.5237 0.0748342 10.2273 0.131315 0 0.422311 0 0.0166298 0 0 0.340911 3.7334 3.89969 0 16.6298
26 4387.10 825.00 100.013841 64.5233 0.0748337 10.2273 0.138135 0 0.41617 0 0.0166297 0 0 0.340909 3.73337 3.89967 0 16.6297
6 4846.77 885.00 100.012652 64.5241 0.0748346 10.2274 0.126266 0 0.426857 0 0.0166299 0 0 0.340913 3.73342 3.89971 0 16.6299
