Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
1 4846.77 900.00 92.000536 70.1433 0.0813518 11.1181 0.135272 0 0.465821 0 0.0180782 0 0 0.370603 4.05855 4.23933 0 9.36969
2 2701.61 897.00 89.016004 72.4951 0.0840793 11.4908 0.155431 0 0.467382 0 0.0186843 0 0 0.383028 4.19463 4.38147 0 6.32938
2 1629.03 897.00 87.545371 73.7129 0.0854918 11.6839 0.166553 0 0.467575 0 0.0189982 0 0 0.389462 4.26509 4.45507 0 4.755
2 3161.29 897.00 89.615946 72.0098 0.0835165 11.4139 0.151022 0 0.467284 0 0.0185592 0 0 0.380464 4.16654 4.35214 0 6.95689
2 3008.06 897.00 89.415578 72.1711 0.0837036 11.4395 0.152475 0 0.467327 0 0.0186008 0 0 0.381316 4.17588 4.36189 0 6.74819
3 2701.61 894.00 89.020526 72.4914 0.0840751 11.4903 0.155897 0 0.466931 0 0.0186834 0 0 0.383009 4.19441 4.38125 0 6.33409
3 403.23 894.00 85.198111 75.7437 0.0878471 12.0058 0.183448 0 0.469383 0 0.0195216 0 0 0.400192 4.38259 4.57781 0 2.1297
3 3008.06 894.00 89.421231 72.1666 0.0836983 11.4388 0.152929 0 0.466881 0 0.0185996 0 0 0.381292 4.17562 4.36161 0 6.754

4 2701.61 891.00 89.024989 72.4878 0.0840709 11.4897 0.15637 0 0.466475 0 0.0186824 0 0 0.382989 4.1942 4.38103 0 6.33874
4 1169.35 891.00 86.814463 74.3335 0.0862115 11.7822 0.173022 0 0.466952 0 0.0191581 0 0 0.392741 4.301 4.49258 0 3.95266
4 2088.71 891.00 88.207134 73.1599 0.0848504 11.5962 0.162586 0 0.466511 0 0.0188556 0 0 0.386541 4.23309 4.42165 0 5.4698
4 4387.10 891.00 91.342627 70.6485 0.0819377 11.1982 0.140535 0 0.465317 0 0.0182084 0 0 0.373272 4.08778 4.26987 0 8.71639
5 1629.03 888.00 87.553420 73.7061 0.0854839 11.6828 0.168101 0 0.466125 0 0.0189964 0 0 0.389427 4.2647 4.45466 0 4.763632
5 2548.39 888.00 88.827481 72.6489 0.0842578 11.5152 0.158374 0 0.466022 0 0.018724 0 0 0.383841 4.20353 4.39077 0 6.13031
5 250.00 900.00 84.749331 76.1448 0.0883123 12.0693 0.185081 0 0.471273 0 0.019625 0 0 0.402312 4.4058 4.60205 0 1.61138

5 4387.10 888.00 91.358941 70.6359 0.0819231 11.1962 0.140932 0 0.464855 0 0.0182051 0 0 0.373205 4.08705 4.2691 0 8.732652
6 1629.03 885.00 87.556037 73.7039 0.0854813 11.6825 0.16863 0 0.46563 0 0.0189959 0 0 0.389415 4.26457 4.45453 0 4.766393
6 2548.39 885.00 88.831378 72.6458 0.0842541 11.5147 0.158866 0 0.465552 0 0.0187231 0 0 0.383824 4.20334 4.39057 0 6.1343
6 250.00 899.00 84.405569 76.1884 0.088672 12.0376 0.185953 0 0.473086 0 0.0197049 0 0 0.399356 4.38674 4.60997 0 1.61
6 2395.16 885.00 88.627781 72.8126 0.0844476 11.5412 0.160419 0 0.465553 0 0.0187661 0 0 0.384706 4.213 4.40066 0 5.91863
6 4387.10 885.00 91.375306 70.6233 0.0819084 11.1942 0.141334 0 0.464387 0 0.0182019 0 0 0.373138 4.08632 4.26834 0 8.74895
7 1629.03 882.00 87.558619 73.7017 0.0854788 11.6821 0.169167 0 0.465129 0 0.0189953 0 0 0.389404 4.26444 4.4544 0 4.76914
7 2548.39 882.00 88.835211 72.6426 0.0842505 11.5142 0.159365 0 0.465077 0 0.0187223 0 0 0.383808 4.20316 4.39039 0 6.1383
7 3161.29 882.00 89.647132 71.9847 0.0834874 11.4099 0.153317 0 0.465008 0 0.0185528 0 0 0.380332 4.16509 4.35062 0 6.98893
7 3620.97 882.00 90.271701 71.4867 0.0829098 11.331 0.148922 0 0.464791 0 0.0184244 0 0 0.3777 4.13628 4.32052 0 7.63279488
8 2701.61 879.00 89.042203 72.4738 0.0840546 11.4875 0.158326 0 0.464597 0 0.0186788 0 0 0.382915 4.19339 4.38018 0 6.3566
8 1169.35 879.00 86.824272 74.3251 0.0862018 11.7809 0.17523 0 0.464894 0 0.019156 0 0 0.392697 4.30051 4.49207 0 3.96323
8 2548.39 879.00 88.838978 72.6395 0.0842469 11.5137 0.159871 0 0.464596 0 0.0187215 0 0 0.383791 4.20298 4.3902 0 6.14231
8 3774.19 879.00 90.496281 71.3093 0.082704 11.3029 0.147922 0 0.464205 0 0.0183787 0 0 0.376763 4.12601 4.3098 0 7.86208

8 1475.81 879.00 87.326913 73.8973 0.0857056 11.7131 0.171489 0 0.464677 0 0.0190457 0 0 0.390437 4.27576 4.46622 0 4.

9 2701.61 876.00 89.046336 72.4704 0.0840507 11.4869 0.158832 0 0.464114 0 0.0186779 0 0 0.382898 4.1932 4.37998 0 6.360941
9 403.23 876.00 85.207325 75.7355 0.0878376 12.0045 0.186999 0 0.466119 0 0.0195195 0 0 0.400149 4.38212 4.57732 0 2.139933
9 2395.16 876.00 88.638001 72.8042 0.0844379 11.5398 0.161956 0 0.4641 0 0.018764 0 0 0.384662 4.21251 4.40015 0 5.9293345
9 4387.10 876.00 91.424694 70.5851 0.0818642 11.1881 0.142574 0 0.462952 0 0.018192 0 0 0.372937 4.08411 4.26603 0 8.798122
10 3927.42 873.00 90.739036 71.1185 0.0824828 11.2726 0.147371 0 0.463103 0 0.0183295 0 0 0.375755 4.11497 4.29827 0 8.1085
10 403.23 873.00 85.208897 75.7341 0.087836 12.0043 0.187616 0 0.465552 0 0.0195191 0 0 0.400142 4.38204 4.57723 0 2.14167
10 4080.65 873.00 90.967013 70.9402 0.0822761 11.2444 0.14591 0 0.462924 0 0.0182836 0 0 0.374813 4.10466 4.2875 0 8.338999276
10 5000.00 873.00 92.482144 69.778 0.0809281 11.0602 0.137183 0 0.461043 0 0.017984 0 0 0.368673 4.03741 4.21726 0 9.8413775
10 3008.06 873.00 89.459045 72.1361 0.0836629 11.4339 0.156281 0 0.463609 0 0.0185918 0 0 0.381131 4.17385 4.35977 0 6.79311
11 862.90 870.00 86.264432 74.8075 0.0867612 11.8574 0.181073 0 0.463677 0 0.0192803 0 0 0.395246 4.32842 4.52122 0 3.339502
11 3774.19 870.00 90.526237 71.2857 0.0826767 11.2991 0.149302 0 0.462765 0 0.0183726 0 0 0.376638 4.12465 4.30837 0 7.89242
11 4387.10 870.00 91.457851 70.5595 0.0818345 11.184 0.143429 0 0.461968 0 0.0181854 0 0 0.372802 4.08263 4.26449 0 8.831093
12 3927.42 867.00 90.761671 71.1007 0.0824622 11.2698 0.148293 0 0.462125 0 0.0183249 0 0 0.375661 4.11395 4.2972 0 8.131417
12 2241.94 867.00 88.440191 72.9671 0.0846268 11.5657 0.165171 0 0.462571 0 0.0188059 0 0 0.385522 4.22194 4.40999 0 5.7186
12 5000.00 867.00 92.536375 69.7371 0.0808807 11.0537 0.137965 0 0.459996 0 0.0179735 0 0 0.368457 4.03505 4.21478 0 9.8
1
12 4387.10 867.00 91.474496 70.5467 0.0818196 11.182 0.143865 0 0.461468 0 0.0181821 0 0 0.372734 4.08189 4.26371 0 8.84763
