Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
1 4540.32 900.00 8.489257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
3 3927.42 894.00 9.354014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
2 4233.87 897.00 8.928439 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
2 4846.77 897.00 7.989513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
3 4693.55 894.00 8.213492 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
2 5000.00 897.00 7.738037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
4 3927.42 891.00 9.342584 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
2 4540.32 897.00 8.471240 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
2 4387.10 897.00 8.702630 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
3 4233.87 894.00 8.914009 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
4 4693.55 891.00 8.193145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
3 5000.00 894.00 7.712866 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
4 4080.65 891.00 9.123483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
3 4846.77 894.00 7.966933 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
3 4540.32 894.00 8.453141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
5 3927.42 888.00 9.331167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
5 4693.55 888.00 8.172678 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
3 4387.10 894.00 8.686458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
4 5000.00 891.00 7.687483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
4 4233.87 891.00 8.899553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
4 4846.77 891.00 7.944193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
6 3927.42 885.00 9.319766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
6 4693.55 885.00 8.152092 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
4 4540.32 891.00 8.434959 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
4 4387.10 891.00 8.670234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
6 4080.65 885.00 9.097746 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
5 4233.87 888.00 8.885071 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
7 3927.42 882.00 9.308383 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
5 4846.77 888.00 7.921290 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
5 4540.32 888.00 8.416695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
5 4387.10 888.00 8.653959 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
7 4080.65 882.00 9.084876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
7 4693.55 882.00 8.131386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
