System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(NNO) rhol rhos viscosity aH2O chisqr
1 6716.22 1150.00 100.306362 0.3478610920695209 0.377983 -1202922.030850 245.026292 33.474868 127.463835 -88.545800 1697.256682 -8.157 0.000 2.757677 3.141574 3.029 n/a n/a
2 7500.00 1153.00 100.292843 0.3293924136519351 0.359422 -1200588.840512 244.663611 33.280587 126.797623 -84.363079 1678.999327 -8.121 0.000 2.761771 3.154827 3.063 n/a n/a
2 6912.16 1153.00 100.298789 0.3570290394310309 0.387091 -1201517.587454 245.460233 33.455469 127.724093 -89.120681 1714.629760 -8.121 0.000 2.765150 3.145026 2.988 n/a n/a
2 7108.11 1153.00 100.297071 0.3471944056310705 0.377256 -1201231.422481 245.180634 33.395951 127.395815 -87.442517 1701.768388 -8.121 0.000 2.763952 3.148249 3.013 n/a n/a
2 6716.22 1153.00 100.300197 0.3675564499089448 0.397603 -1201777.196338 245.755565 33.516440 128.074176 -90.901542 1728.588686 -8.121 0.000 2.766422 3.141831 2.962 n/a n/a
3 7500.00 1156.00 100.287868 0.3472176157348573 0.377286 -1199526.609423 245.347783 33.316603 127.346158 -86.454887 1707.344367 -8.084 0.000 2.770249 3.155495 2.997 n/a n/a
3 7108.11 1156.00 100.290985 0.3667688172848165 0.396779 -1200092.029183 245.905483 33.436196 127.999863 -89.756651 1732.897990 -8.084 0.000 2.772609 3.148698 2.947 n/a n/a
3 6716.22 1156.00 100.292768 0.3892048885081699 0.419082 -1200546.113661 246.528491 33.561711 128.744366 -93.479165 1763.043668 -8.084 0.000 2.775269 3.141999 2.894 n/a n/a
4 7500.00 1159.00 100.281838 0.3667103237938646 0.396750 -1198391.061064 246.069072 33.355618 127.945144 -88.732853 1738.338225 -8.047 0.000 2.778814 3.156155 2.932 n/a n/a
4 7304.05 1159.00 100.282927 0.3771101833241730 0.407075 -1198644.121918 246.362588 33.417053 128.291984 -90.455699 1752.112665 -8.047 0.000 2.780050 3.152611 2.906 n/a n/a
4 7108.11 1159.00 100.283637 0.3882142044026549 0.418080 -1198869.538691 246.671717 33.479911 128.661151 -92.279215 1767.018715 -8.047 0.000 2.781361 3.149069 2.879 n/a n/a
4 6716.22 1159.00 100.283416 0.4121442672253260 0.441682 -1199245.860901 247.325012 33.609531 129.457184 -96.164054 1799.709059 -8.047 0.000 2.784235 3.141637 2.824 n/a n/a
5 7500.00 1162.00 100.274525 0.3879563783213770 0.417874 -1197176.688848 246.828423 33.397830 128.597820 -91.200747 1772.138166 -8.011 0.000 2.787469 3.156731 2.865 n/a n/a
5 6912.16 1162.00 100.273661 0.4236711976146479 0.452997 -1197729.717937 247.805907 33.592947 129.787457 -96.937029 1820.896893 -8.011 0.000 2.791725 3.144989 2.782 n/a n/a
