Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 2000.00 1400.00 100.097203 47.4828 2.28917 16.3941 0.96925 0 8.28455 0.122956 9.37661 0 0 11.5958 2.24919 0.328881 0.256907 0.199928 0.449837
2 2000.00 1397.00 100.210739 47.5003 2.29002 16.4001 2.09899 0 7.27137 0.123001 9.38007 0 0 11.6001 2.25002 0.329002 0.257002 0.200001 0.300002
2 2000.00 1397.00 100.210423 47.4292 2.28659 16.3756 2.09585 0 7.26048 0.122817 9.36602 0 0 11.5827 2.24665 0.32851 0.256617 0.199702 0.449329
2 2000.00 1397.00 100.144843 47.4602 2.28808 16.3863 1.4436 0 7.85336 0.122897 9.37215 0 0 11.5903 2.24812 0.328725 0.256785 0.199833 0.44962327
3 2000.00 1394.00 100.210827 47.5003 2.29001 16.4001 2.09987 0 7.27057 0.123001 9.38006 0 0 11.6001 2.25001 0.329002 0.257002 0.200001 0.300002
3 2000.00 1394.00 100.145126 47.5315 2.29152 16.4109 1.44642 0 7.86456 0.123081 9.38621 0 0 11.6077 2.25149 0.329218 0.25717 0.200132 0.300199
3 2000.00 1394.00 100.210511 47.4291 2.28658 16.3755 2.09672 0 7.25968 0.122817 9.36601 0 0 11.5827 2.24664 0.328509 0.256617 0.199702 0.449329
3 2000.00 1394.00 100.144908 47.4602 2.28808 16.3863 1.44426 0 7.85277 0.122897 9.37214 0 0 11.5903 2.24812 0.328724 0.256785 0.199833 0.449623
4 2000.00 1391.00 100.145193 47.5314 2.29152 16.4108 1.44709 0 7.86395 0.123081 9.38621 0 0 11.6077 2.25149 0.329218 0.25717 0.200132 0.300198
4 2000.00 1391.00 100.210917 47.5003 2.29001 16.4001 2.10076 0 7.26976 0.123001 9.38005 0 0 11.6001 2.25001 0.329002 0.257001 0.200001 0.300002
