Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 4000.00 1400.00 99.863137 47.4754 2.28881 16.3915 0.948817 0 8.30149 0.122936 9.37514 0 0 11.594 2.24883 0.328829 0.256867 0.39853 0.2688928
2 500.00 1397.00 99.617456 47.5925 2.29446 16.4319 0.986557 0 8.29011 0.123239 9.39826 0 0 11.6226 2.25438 0.32964 0.2575 0.386728 0.0321682
2 2000.00 1397.00 99.726444 47.5404 2.29195 16.414 0.969748 0 8.29521 0.123105 9.38799 0 0 11.6099 2.25192 0.32928 0.257219 0.397173 0.1321285
3 500.00 1394.00 99.617463 47.5925 2.29446 16.4319 0.987017 0 8.2897 0.123239 9.39826 0 0 11.6226 2.25438 0.32964 0.2575 0.386726 0.0321318
2 4000.00 1397.00 99.863038 47.4754 2.28881 16.3915 0.949275 0 8.30109 0.122936 9.37515 0 0 11.594 2.24884 0.32883 0.256867 0.398531 0.268747
3 1000.00 1394.00 99.657186 47.5735 2.29354 16.4254 0.981231 0 8.29125 0.12319 9.39451 0 0 11.6179 2.25348 0.329509 0.257398 0.393504 0.065587
4 500.00 1391.00 99.617471 47.5924 2.29446 16.4319 0.987489 0 8.28927 0.123239 9.39826 0 0 11.6226 2.25438 0.32964 0.2575 0.386723 0.0320952
4 2000.00 1391.00 99.726277 47.5405 2.29195 16.414 0.970685 0 8.29438 0.123105 9.388 0 0 11.6099 2.25192 0.329281 0.257219 0.397172 0.13187
4 1000.00 1391.00 99.657159 47.5735 2.29354 16.4254 0.981703 0 8.29083 0.12319 9.39451 0 0 11.6179 2.25348 0.329509 0.257398 0.393502 0.0655142
3 4000.00 1394.00 99.862939 47.4755 2.28882 16.3915 0.949743 0 8.30068 0.122936 9.37515 0 0 11.594 2.24884 0.32883 0.256867 0.398531 0.268601
5 500.00 1388.00 99.617481 47.5924 2.29446 16.4319 0.987972 0 8.28884 0.123239 9.39826 0 0 11.6226 2.25438 0.32964 0.2575 0.386721 0.0320586
5 2000.00 1388.00 99.726195 47.5406 2.29196 16.414 0.971171 0 8.29395 0.123105 9.38801 0 0 11.6099 2.25192 0.329281 0.257219 0.397171 0.13174
5 1000.00 1388.00 99.657133 47.5735 2.29354 16.4254 0.982187 0 8.29039 0.12319 9.39452 0 0 11.618 2.25348 0.329509 0.257398 0.3935 0.0654413
4 4000.00 1391.00 99.862840 47.4755 2.28882 16.3915 0.950223 0 8.30026 0.122937 9.37516 0 0 11.594 2.24884 0.32883 0.256868 0.398532 0.268454
6 500.00 1385.00 99.617492 47.5924 2.29446 16.4319 0.988468 0 8.28839 0.123239 9.39825 0 0 11.6226 2.25438 0.32964 0.2575 0.386719 0.0320219
6 2000.00 1385.00 99.726114 47.5406 2.29196 16.414 0.971669 0 8.29351 0.123105 9.38802 0 0 11.6099 2.25192 0.329281 0.25722 0.39717 0.13161
6 1000.00 1385.00 99.657108 47.5735 2.29354 16.4254 0.982683 0 8.28995 0.12319 9.39452 0 0 11.618 2.25348 0.329509 0.257398 0.393499 0.0653682
7 2000.00 1382.00 99.726033 47.5406 2.29196 16.414 0.972178 0 8.29306 0.123105 9.38803 0 0 11.6099 2.25193 0.329281 0.25722 0.39717 0.131479
7 500.00 1382.00 99.617503 47.5924 2.29446 16.4319 0.988974 0 8.28794 0.123239 9.39825 0 0 11.6226 2.25438 0.32964 0.2575 0.386717 0.0319851
