Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 1000.00 1400.00 0.440637 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60824 98.3918
14 500.00 1361.00 0.481472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.91171 97.0883
7 2000.00 1382.00 0.371101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.852558 99.1474
15 500.00 1358.00 0.481511 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.91171 97.0883
2 1000.00 1397.00 0.440711 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60843 98.3916
3 4000.00 1394.00 0.232084 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.543066 99.4569
16 500.00 1355.00 0.481549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.91167 97.0883
8 2000.00 1379.00 0.371233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.852512 99.1475
3 1000.00 1394.00 0.440785 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60861 98.3914
4 4000.00 1391.00 0.232231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.542642 99.4574
17 500.00 1352.00 0.481588 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.9116 97.0884
9 2000.00 1376.00 0.371366 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.852455 99.1475
4 1000.00 1391.00 0.440860 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60878 98.3912
18 500.00 1349.00 0.481626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.9115 97.0885
10 2000.00 1373.00 0.371498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.852385 99.1476
5 1000.00 1388.00 0.440934 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60893 98.3911
5 4000.00 1388.00 0.232379 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.542207 99.4578
19 500.00 1346.00 0.481664 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.91135 97.0886
11 2000.00 1370.00 0.371632 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.852303 99.1477
6 1000.00 1385.00 0.441009 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60906 98.3909
12 2000.00 1367.00 0.371765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.852206 99.1478
7 1000.00 1382.00 0.441084 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60918 98.3908
20 500.00 1343.00 0.481702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.91116 97.0888
6 4000.00 1385.00 0.232528 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.541762 99.4582
13 2000.00 1364.00 0.371899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.852093 99.1479
8 1000.00 1379.00 0.441159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60928 98.3907
21 500.00 1340.00 0.481740 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.91091 97.0891
7 4000.00 1382.00 0.232678 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.541306 99.4587
9 1000.00 1376.00 0.441234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60937 98.3906
14 2000.00 1361.00 0.372034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.851963 99.148
22 500.00 1337.00 0.481777 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.9106 97.0894
10 1000.00 1373.00 0.441309 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60943 98.3906
15 2000.00 1358.00 0.372169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.851815 99.1482
23 500.00 1334.00 0.481815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.91022 97.0898
8 4000.00 1379.00 0.232829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.540839 99.4592
11 1000.00 1370.00 0.441384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60948 98.3905
16 2000.00 1355.00 0.372304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.851645 99.1484
24 500.00 1331.00 0.481851 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.90975 97.0903
12 1000.00 1367.00 0.441460 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6095 98.3905
17 2000.00 1352.00 0.372440 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.851452 99.1485
9 4000.00 1376.00 0.232981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.54036 99.4596
25 500.00 1328.00 0.481888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.90915 97.0908
13 1000.00 1364.00 0.441536 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6095 98.3905
18 2000.00 1349.00 0.372576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.851232 99.1488
26 500.00 1325.00 0.481923 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.90838 97.0916
10 4000.00 1373.00 0.233135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.539868 99.4601
14 1000.00 1361.00 0.441611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60948 98.3905
19 2000.00 1346.00 0.372712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.850981 99.149
27 500.00 1322.00 0.481957 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.9073 97.0927
15 1000.00 1358.00 0.441687 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60943 98.3906
20 2000.00 1343.00 0.372849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.850695 99.1493
11 4000.00 1370.00 0.233289 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.539362 99.4606
28 500.00 1319.00 0.481986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.9055 97.0945
16 1000.00 1355.00 0.441763 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60935 98.3906
21 2000.00 1340.00 0.372985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.850367 99.1496
29 500.00 1316.00 0.481984 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.89824 97.1018
17 1000.00 1352.00 0.441839 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60924 98.3908
12 4000.00 1367.00 0.233444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.538843 99.4612
22 2000.00 1337.00 0.373123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.849989 99.15
30 500.00 1313.00 0.482017 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.897 97.103
18 1000.00 1349.00 0.441915 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6091 98.3909
23 2000.00 1334.00 0.373260 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.849547 99.1505
13 4000.00 1364.00 0.233600 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.538309 99.4617
31 500.00 1310.00 0.482054 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.89633 97.1037
19 1000.00 1346.00 0.441991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60892 98.3911
24 2000.00 1331.00 0.373397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.849024 99.151
32 500.00 1307.00 0.482091 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.89584 97.1042
20 1000.00 1343.00 0.442067 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60869 98.3913
14 4000.00 1361.00 0.233758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.53776 99.4622
25 2000.00 1328.00 0.373534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.848391 99.1516
21 1000.00 1340.00 0.442143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60841 98.3916
33 500.00 1304.00 0.482130 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.89546 97.1045
26 2000.00 1325.00 0.373671 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.847593 99.1524
15 4000.00 1358.00 0.233916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.537193 99.4628
22 1000.00 1337.00 0.442219 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60807 98.3919
27 2000.00 1322.00 0.373806 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.846512 99.1535
23 1000.00 1334.00 0.442294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60765 98.3923
16 4000.00 1355.00 0.234076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.536608 99.4634
28 2000.00 1319.00 0.373936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.844727 99.1553
24 1000.00 1331.00 0.442369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60714 98.3929
17 4000.00 1352.00 0.234236 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.536003 99.464
29 2000.00 1316.00 0.374030 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.837592 99.1624
25 1000.00 1328.00 0.442444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60651 98.3935
30 2000.00 1313.00 0.374165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.836393 99.1636
26 1000.00 1325.00 0.442518 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60568 98.3943
18 4000.00 1349.00 0.234398 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.535377 99.4646
31 2000.00 1310.00 0.374306 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.835758 99.1642
