System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-1.0) rhol rhos viscosity aH2O chisqr
1 4000.00 1400.00 100.094383 0.9982624756343557 0.992832 -1182397.525351 294.543115 37.834832 153.074130 -233.916991 3203.838603 -7.055 0.000 2.660032 0.641284 1.134 n/a n/a
2 4000.00 1397.00 100.205209 0.9996853009519014 0.998699 -1185069.353981 294.215571 37.755991 153.658587 -205.345061 3172.802812 -5.081 0.000 2.656643 0.641852 1.144 n/a n/a
2 4000.00 1397.00 100.094428 0.9982612063251990 0.992832 -1182857.360962 294.268536 37.825367 153.073413 -233.912973 3203.932573 -7.081 0.000 2.660695 0.641948 1.143 n/a n/a
2 4000.00 1397.00 100.062235 0.9982905069270011 0.992950 -1182417.526201 294.174190 37.793999 152.908042 -232.924631 3191.256192 -8.081 0.000 2.661810 0.641960 1.143 n/a n/a
3 4000.00 1394.00 100.205298 0.9996838425170267 0.998694 -1185531.527373 293.939526 37.746675 153.658242 -205.406567 3172.880586 -5.107 0.000 2.657311 0.642517 1.153 n/a n/a
3 4000.00 1394.00 100.062359 0.9998104969313110 0.999215 -1183586.874130 293.563316 37.608138 152.924006 -201.117806 3116.723782 -8.107 0.000 2.662242 0.642568 1.152 n/a n/a
3 4000.00 1394.00 100.140878 0.9982188623513090 0.992669 -1183949.495881 294.118053 37.860942 153.311030 -235.315201 3222.271707 -6.107 0.000 2.659754 0.642598 1.153 n/a n/a
4 4000.00 1391.00 100.062391 0.9998092373088641 0.999211 -1184046.085219 293.287989 37.598921 152.923379 -201.160759 3116.772424 -8.133 0.000 2.662904 0.643236 1.161 n/a n/a
4 4000.00 1391.00 100.141154 0.9997374740212043 0.998915 -1185122.151526 293.506338 37.675362 153.327965 -203.570327 3147.766339 -6.133 0.000 2.660189 0.643207 1.162 n/a n/a
4 4000.00 1391.00 100.205086 0.9981633998182289 0.992454 -1185280.651491 293.998510 37.913363 153.639804 -237.214985 3247.531971 -5.133 0.000 2.658207 0.643244 1.164 n/a n/a
5 4000.00 1388.00 100.205483 0.9996808967579610 0.998684 -1186455.962540 293.385956 37.728050 153.657567 -205.529990 3173.039578 -5.159 0.000 2.658646 0.643854 1.172 n/a n/a
5 4000.00 1388.00 100.094571 0.9982573494842891 0.992833 -1184236.951431 293.441851 37.796978 153.071143 -233.901268 3204.219810 -7.159 0.000 2.662684 0.643952 1.172 n/a n/a
5 4000.00 1388.00 100.205179 0.9981619506633307 0.992454 -1185742.828353 293.721510 37.903824 153.639239 -237.225529 3247.651400 -5.159 0.000 2.658875 0.643913 1.173 n/a n/a
6 4000.00 1385.00 100.062459 0.9998066931025590 0.999201 -1184964.535565 292.735852 37.580492 152.922123 -201.246952 3116.871457 -8.185 0.000 2.664230 0.644578 1.180 n/a n/a
6 4000.00 1385.00 100.141085 0.9982147688746922 0.992669 -1185332.097881 293.288717 37.832465 153.308983 -235.322071 3222.592658 -6.185 0.000 2.661749 0.644607 1.182 n/a n/a
6 4000.00 1385.00 100.205274 0.9981604925262203 0.992454 -1186205.034451 293.444013 37.894288 153.638650 -237.236157 3247.772118 -5.185 0.000 2.659543 0.644584 1.183 n/a n/a
7 4000.00 1382.00 100.062494 0.9998054085557549 0.999197 -1185423.775042 292.459038 37.571279 152.921493 -201.290190 3116.921853 -8.211 0.000 2.664893 0.645252 1.190 n/a n/a
7 4000.00 1382.00 100.141157 0.9982133873220392 0.992669 -1185793.007560 293.011280 37.822977 153.308244 -235.324497 3222.701763 -6.211 0.000 2.662414 0.645280 1.192 n/a n/a
7 4000.00 1382.00 100.205372 0.9981590254163369 0.992454 -1186667.270004 293.166019 37.884753 153.638030 -237.246868 3247.894121 -5.211 0.000 2.660211 0.645258 1.192 n/a n/a
8 4000.00 1379.00 100.094864 0.9997739881513862 0.999068 -1186327.769287 292.274631 37.593362 153.086945 -202.348107 3129.716661 -7.238 0.000 2.664448 0.645915 1.200 n/a n/a
8 4000.00 1379.00 100.094724 0.9982534199734678 0.992834 -1185616.669236 292.610711 37.768600 153.068615 -233.890052 3204.514868 -7.238 0.000 2.664675 0.645973 1.201 n/a n/a
8 4000.00 1379.00 100.062529 0.9998041157560847 0.999192 -1185883.024202 292.181725 37.562066 152.920861 -201.333521 3116.972837 -8.238 0.000 2.665557 0.645927 1.199 n/a n/a
8 4000.00 1379.00 100.141231 0.9982119973021399 0.992670 -1186253.938638 292.733344 37.813489 153.307466 -235.326989 3222.811921 -6.238 0.000 2.663080 0.645955 1.201 n/a n/a
