System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
1 2005.00 1253.15 96.374956 0.9983783980868768 0.985852 -1202406.440413 302.987455 41.614375 154.534201 -525.285257 5507.589496 -7.528 -7.528 2.345331 0.265451 0.962 n/a n/a
2 10000.00 1300.15 98.050148 1.0000000000000000 1.000000 -1168860.165292 303.637057 39.300278 154.911425 -244.564117 5074.002017 -6.157 -6.157 2.494897 0.000000 0.920 n/a n/a
22 2090.00 1020.15 99.536743 1.0000000000000000 1.000000 -1299403.341684 291.461613 44.510425 144.245592 -386.470668 5170.696847 -10.728 -10.728 2.236257 0.000000 3.158 n/a n/a
2 2005.00 1250.15 96.374956 0.9984153636718872 0.986199 -1202871.015744 302.682775 41.589476 154.528818 -519.220452 5499.818744 -7.562 -7.562 2.345998 0.266067 0.971 n/a n/a
3 7030.00 1187.15 103.040939 1.0000000000000000 1.000000 -1254351.078218 295.928512 40.523211 151.237558 -264.493244 4233.526638 -7.706 -7.706 2.542763 0.000000 2.219 n/a n/a

3 10000.00 1192.15 100.121848 1.0000000000000000 1.000000 -1218171.279514 296.672406 39.745634 149.632489 -267.662613 5018.977996 -7.353 -7.353 2.519065 0.000000 1.814 n/a n/a
3 2090.00 1017.15 99.536743 1.0000000000000000 1.000000 -1299836.054473 291.126644 44.494913 144.229580 -386.664121 5170.696847 -10.778 -10.778 2.237036 0.000000 3.175 n/a n/a
3 2005.00 1247.15 96.374956 0.9984524420903086 0.986545 -1203335.574865 302.377505 41.564600 154.523409 -513.168242 5492.004294 -7.596 -7.596 2.346665 0.266687 0.980 n/a n/a
4 7030.00 1184.15 103.040939 1.0000000000000000 1.000000 -1254804.781512 295.617501 40.510510 151.231293 -264.621465 4233.526638 -7.743 -7.743 2.543561 0.000000 2.232 n/a n/a

4 10000.00 1189.15 100.121848 1.0000000000000000 1.000000 -1218620.166418 296.365747 39.730578 149.625436 -267.802084 5018.977996 -7.390 -7.390 2.520020 0.000000 1.826 n/a n/a
