Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 4000.00 1400.00 99.966037 47.4265 2.28646 16.3746 0.947284 0 8.29345 0.12281 9.36549 0 0 11.5821 2.24652 0.328491 0.256602 0.498157 0.271569
2 500.00 1397.00 99.713189 47.5468 2.29225 16.4161 0.985058 0 8.28265 0.123121 9.38923 0 0 11.6114 2.25222 0.329324 0.257253 0.483124 0.0314343
2 2000.00 1397.00 99.826668 47.4927 2.28965 16.3975 0.968212 0 8.28739 0.122981 9.37856 0 0 11.5982 2.24965 0.32895 0.256961 0.496392 0.132833
2 1000.00 1397.00 99.755342 47.5267 2.29129 16.4092 0.979244 0 8.28401 0.123069 9.38527 0 0 11.6065 2.25126 0.329185 0.257144 0.491808 0.0653306
3 2000.00 1394.00 99.826585 47.4928 2.28965 16.3975 0.968675 0 8.28698 0.122981 9.37857 0 0 11.5982 2.24966 0.32895 0.256961 0.496391 0.132705
3 500.00 1394.00 99.713197 47.5468 2.29225 16.4161 0.985518 0 8.28224 0.123121 9.38923 0 0 11.6114 2.25221 0.329324 0.257253 0.483121 0.0313989
3 1000.00 1394.00 99.755314 47.5267 2.29129 16.4092 0.979705 0 8.2836 0.123069 9.38527 0 0 11.6065 2.25126 0.329185 0.257144 0.491805 0.065259
2 4000.00 1397.00 99.965941 47.4265 2.28646 16.3746 0.947741 0 8.29305 0.12281 9.3655 0 0 11.5821 2.24652 0.328491 0.256603 0.498157 0.271427
4 2000.00 1391.00 99.826502 47.4928 2.28965 16.3975 0.969148 0 8.28656 0.122981 9.37858 0 0 11.5982 2.24966 0.32895 0.256961 0.496389 0.132577
4 1000.00 1391.00 99.755287 47.5267 2.29129 16.4092 0.980176 0 8.28318 0.123069 9.38527 0 0 11.6065 2.25126 0.329185 0.257144 0.491803 0.0651873
4 500.00 1391.00 99.713206 47.5468 2.29225 16.4161 0.985988 0 8.28181 0.123121 9.38923 0 0 11.6114 2.25221 0.329324 0.257253 0.483118 0.0313635
5 2000.00 1388.00 99.826420 47.4928 2.28965 16.3975 0.969634 0 8.28613 0.122981 9.37858 0 0 11.5982 2.24966 0.32895 0.256961 0.496388 0.132448
3 4000.00 1394.00 99.965844 47.4266 2.28646 16.3747 0.948208 0 8.29264 0.12281 9.3655 0 0 11.5821 2.24652 0.328492 0.256603 0.498157 0.271285
5 500.00 1388.00 99.713216 47.5468 2.29225 16.4161 0.986471 0 8.28138 0.123121 9.38923 0 0 11.6114 2.25221 0.329324 0.257253 0.483116 0.031328
5 1000.00 1388.00 99.755261 47.5267 2.29129 16.4092 0.98066 0 8.28274 0.123069 9.38527 0 0 11.6065 2.25127 0.329185 0.257145 0.4918 0.0651153
6 2000.00 1385.00 99.826339 47.4929 2.28966 16.3975 0.97013 0 8.28569 0.122982 9.37859 0 0 11.5983 2.24966 0.328951 0.256961 0.496387 0.132319
6 500.00 1385.00 99.713228 47.5467 2.29225 16.4161 0.986965 0 8.28093 0.123121 9.38923 0 0 11.6114 2.25221 0.329324 0.257253 0.483113 0.0312924
6 1000.00 1385.00 99.755237 47.5267 2.29129 16.4092 0.981155 0 8.2823 0.123069 9.38528 0 0 11.6065 2.25127 0.329185 0.257145 0.491798 0.0650432
7 2000.00 1382.00 99.826259 47.4929 2.28966 16.3976 0.970639 0 8.28524 0.122982 9.3786 0 0 11.5983 2.24966 0.328951 0.256962 0.496386 0.132189
4 4000.00 1391.00 99.965748 47.4266 2.28646 16.3747 0.948687 0 8.29221 0.12281 9.36551 0 0 11.5821 2.24652 0.328492 0.256603 0.498157 0.271142
7 500.00 1382.00 99.713241 47.5467 2.29225 16.4161 0.987472 0 8.28048 0.123121 9.38923 0 0 11.6114 2.25221 0.329324 0.257253 0.483111 0.0312568
8 2000.00 1379.00 99.826179 47.4929 2.28966 16.3976 0.971159 0 8.28478 0.122982 9.37861 0 0 11.5983 2.24967 0.328951 0.256962 0.496385 0.132058
7 1000.00 1382.00 99.755213 47.5267 2.29129 16.4092 0.981661 0 8.28185 0.123069 9.38528 0 0 11.6065 2.25127 0.329185 0.257145 0.491796 0.0649708
8 500.00 1379.00 99.713255 47.5467 2.29225 16.4161 0.98799 0 8.28001 0.123121 9.38923 0 0 11.6114 2.25221 0.329324 0.257253 0.483109 0.031221
5 4000.00 1388.00 99.965652 47.4267 2.28647 16.3747 0.949178 0 8.29178 0.12281 9.36552 0 0 11.5821 2.24653 0.328492 0.256603 0.498157 0.270997
9 2000.00 1376.00 99.826100 47.493 2.28966 16.3976 0.971692 0 8.28431 0.122982 9.37861 0 0 11.5983 2.24967 0.328951 0.256962 0.496384 0.131928
8 1000.00 1379.00 99.755190 47.5267 2.29129 16.4092 0.98218 0 8.28138 0.123069 9.38528 0 0 11.6065 2.25127 0.329185 0.257145 0.491794 0.0648983
9 500.00 1376.00 99.713270 47.5467 2.29225 16.4161 0.98852 0 8.27953 0.123121 9.38923 0 0 11.6114 2.25221 0.329324 0.257253 0.483107 0.0311852
